Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
0,1,0.23687850000010258,0.21779300000002877,0.019085500000073807,28,1.0,2.0,2,17,0,2
0,2,0.09433200000000852,0.06992379999996956,0.02440820000003896,24,1.0,2.0,2,15,0,2
0,3,1.0909981999999445,0.077288899999985,1.0137092999999595,26,1.0,1.5,2,14,1,2
0,4,0.5826736999999866,0.13668680000000677,0.44598689999997987,26,1.0,2.0,2,17,0,2
0,5,0.5758574000000181,0.2750886999999693,0.30076870000004874,24,1.0,1.5,2,13,1,2
0,6,0.15606079999997746,0.1394391999999698,0.016621600000007675,26,1.0,2.0,2,16,0,2
0,7,0.670276299999955,0.2276644999999462,0.44261180000000877,25,1.0,2.0,2,12,0,2
0,8,0.985584499999959,0.48768810000001395,0.49789639999994506,25,1.0,1.5,2,14,1,2
0,9,0.6002124000001459,0.08501510000007784,0.515197300000068,27,1.0,2.0,2,7,0,2
1,2,0.22533079999993788,0.053327399999943736,0.17200339999999414,30,1.0,2.0,2,9,0,2
1,3,32.97651880000001,1.271182000000067,31.70533679999994,32,1.0,1.5,2,12,1,2
1,4,4.436493100000007,0.03405069999996613,4.402442400000041,32,1.0,2.0,2,7,0,2
1,5,10.343883499999833,2.0248350999999047,8.319048399999929,30,1.0,1.5,2,13,1,2
1,6,0.05489750000015192,0.04089570000007825,0.014001800000073672,32,1.0,2.0,2,4,0,2
1,7,27.32157360000008,3.934547500000008,23.38702610000007,31,1.0,2.0,2,22,0,2
1,8,14.93448079999996,2.593989699999952,12.340491100000008,31,1.0,1.5,2,11,1,2
1,9,131.05991059999997,4.522303299999976,126.53760729999999,33,1.0,2.0,2,20,0,2
2,3,3.843609600000036,0.3120039000000361,3.5316057,28,1.0,1.5,2,13,1,2
2,4,0.7425530999998955,0.03573239999991529,0.7068206999999802,28,1.0,2.0,2,6,0,2
2,5,1.108779199999958,0.45512859999996635,0.6536505999999918,26,1.0,1.5,2,11,1,2
2,6,0.12171980000005078,0.035485200000039185,0.0862346000000116,28,1.0,2.0,2,5,0,2
2,7,2.5891368000000057,0.5409558999999717,2.048180900000034,27,1.0,2.0,2,18,0,2
2,8,1.672194799999943,0.7654104999999163,0.9067843000000266,27,1.0,1.5,2,12,1,2
2,9,5.0674772999999504,0.381704099999979,4.685773199999971,29,1.0,2.0,2,17,0,2
3,4,18.21127130000002,0.7604460999999674,17.450825200000054,30,1.0,1.5,2,11,1,2
3,5,2.037256500000126,1.3501904000000877,0.6870661000000382,28,1.0,1.0,1,9,0,2
3,6,18.88549230000001,0.8124927999999727,18.072999500000037,30,1.0,1.5,2,12,1,2
3,7,4.431575599999974,3.288108800000032,1.143466799999942,29,1.0,1.5,2,16,1,2
3,8,2.7516674000000876,1.7701250000000073,0.9815424000000803,29,1.0,1.0,1,7,0,2
3,9,3.2882769000001417,2.1634822000000895,1.1247947000000522,31,1.0,1.5,2,13,1,2
4,5,3.690135400000031,1.123881200000028,2.566254200000003,28,1.0,1.5,2,14,1,2
4,6,2.381386000000134,0.04001060000007328,2.341375400000061,30,1.0,2.0,2,7,0,2
4,7,11.019164900000078,2.169137800000044,8.850027100000034,29,1.0,2.0,2,19,0,2
4,8,4.936187000000018,1.3522028000001,3.583984199999918,29,1.0,1.5,2,13,1,2
4,9,30.253792299999986,1.8925434000000223,28.361248899999964,31,1.0,2.0,2,19,0,2
5,6,6.36060980000002,1.3554575000000568,5.005152299999963,28,1.0,1.5,2,11,1,2
5,7,0.29193789999999353,0.06646899999998368,0.22546890000000985,27,1.0,1.5,2,11,1,2
5,8,0.2835450000000037,0.275415100000032,0.008129899999971713,27,1.0,1.0,1,3,0,2
5,9,7.187357899999938,3.545129299999985,3.642228599999953,29,1.0,1.5,2,14,1,2
6,7,12.745414999999866,1.9517020999999204,10.793712899999946,29,1.0,2.0,2,20,0,2
6,8,9.919874499999992,1.7836082000000033,8.136266299999988,29,1.0,1.5,2,10,1,2
6,9,49.77147709999997,2.0826293999999734,47.6888477,31,1.0,2.0,2,19,0,2
7,8,1.9222389000000248,0.9339934000000767,0.9882454999999482,28,1.0,1.5,2,14,1,2
7,9,3.7316637999999784,2.1764912999999524,1.555172500000026,30,1.0,2.0,2,12,0,2
8,9,20.35319430000004,8.439877499999966,11.913316800000075,30,1.0,1.5,2,15,1,2
0,1,0.38646620000008625,0.09245880000003126,0.294007400000055,43,1.0,3.0,3,3,0,4
0,2,53.75528989999998,0.12531669999998485,53.629973199999995,44,1.0,2.5,3,7,1,4
0,3,7.189967400000114,0.08056420000002618,7.109403200000088,45,1.0,3.0,3,1,0,4
0,4,14.140606400000024,0.11500880000016878,14.025597599999855,41,1.0,2.5,3,8,1,4
0,5,0.15099110000028304,0.10251370000014504,0.048477400000138005,45,1.0,3.0,3,2,0,4
0,6,29.278581799999984,0.14362690000007206,29.13495489999991,42,1.0,2.5,3,8,1,4
0,7,21.003189899999825,0.11565249999989646,20.88753739999993,42,1.0,2.5,3,8,1,4
0,8,155.4795600999994,0.14136919999964448,155.33819089999974,42,1.0,2.5,3,10,1,4
0,9,0.32382830000005924,0.07939020000003438,0.24443810000002486,43,1.0,2.5,3,9,1,4
1,2,7.589152000000013,0.1265226000000439,7.462629399999969,41,1.0,2.5,3,7,1,4
1,3,1.8109534000004714,0.10532430000012027,1.7056291000003512,42,1.0,3.0,3,2,0,4
1,4,1.710790800000268,0.1392743999999766,1.5715164000002915,38,1.0,2.5,3,7,1,4
