Level;Total Time;Mapping Time;Clustering Time;Summarization Time;Size;Number of Summarizations;Average Number of Offers;;;;;;;;;;
5;668.5945806;165.0145621;0.0041223;503.5758904;2;1;2.5;;;;;;;;;;
4;2366.081099;1157.472121;0.0073923;1208.601576;4;2;1.75;;;;Total ;;Mapping ;;Clustering;;Summarization
3;1366.343917;865.5827423;0.0377945;500.7233617;8;4;1.5;;;;;;;;;;
2;858.259373;787.1163736;0.3738717;70.769096;16;8;1.375;;;Average;7855.833461;;5243.316588;;37.63797298;;2574.878772
1;882.9505868;797.5811662;40.4334754;44.9359133;32;16;1.34375;;;;;;;;;;
5;1742.222071;741.9137896;0.0046956;1000.303579;2;1;2;;;;;;;;;;
4;1805.380991;1051.946541;0.0075417;753.4268985;4;2;2;;;;;;;;;;
3;1347.579703;991.0318729;0.0443784;356.5034312;8;4;1.625;;;-1;;;;;;;
2;1091.466772;922.1038238;0.3495987;169.0133155;16;8;1.4375;;;;;;;;;;
1;1131.693289;980.7854784;42.2700634;108.6376727;32;16;1.375;;;;;;;;;;
5;1664.786456;621.5273594;0.0042937;1043.254796;2;1;2.5;;;;;;;;;;
4;1237.867969;785.5895449;0.0073724;452.2710397;4;2;2;;;;;;;;;;
3;1149.072323;890.8689897;0.0570329;258.1462807;8;4;1.875;;;;;;;;;;
2;1197.120837;954.9086828;0.8169749;241.3951428;16;8;1.625;;;;;;;;;;
1;1173.748435;957.6993129;30.2182405;185.8308457;32;16;1.59375;;;;;;;;;;
5;1477.423794;365.8335656;0.0047497;1111.585469;2;1;2;;;;;;;;;;
4;1815.30945;1121.81987;0.0094914;693.4800776;4;2;1.75;;;;;;;;;;
3;1592.989462;1243.59748;0.0826867;349.3092729;8;4;1.625;;;;;;;;;;
2;1303.754431;1257.898816;0.4155588;45.440009;16;8;1.5625;;;;;;;;;;
1;1263.131089;1196.256966;32.9840791;33.8900115;32;16;1.53125;;;;;;;;;;
5;4147.325699;1543.550407;0.006829;2603.768453;2;1;2.5;;;;;;;;;;
4;2424.119354;1856.754796;0.010416;567.3541274;4;2;2;;;;;;;;;;
3;2014.549672;1766.93783;0.0600555;247.5517596;8;4;1.75;;;;;;;;;;
2;2053.362566;1770.484503;0.3657478;282.5122605;16;8;1.5;;;;;;;;;;
1;1504.033385;1422.306348;39.6134025;42.1135836;32;16;1.4375;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;6142.229556;3772.766966;40.8566562;2328.605837;;5;1940.07052;687.5679368;0.00493806;1252.497637;;;;;;;
2;7118.342826;4687.781505;42.6762778;2387.884897;;4;1929.751773;1194.716574;0.00844276;735.0267438;;;;;;;
3;6422.59602;4210.59389;31.1039144;2180.898104;;3;1494.107015;1151.603783;0.0563896;342.4468212;;;;;;;
4;7452.608227;5185.406697;33.4965657;2233.70484;;2;1300.792796;1138.50244;0.46435038;161.8259648;;;;;;;
5;12143.39068;8360.033884;40.0564508;3743.300184;;1;1191.111357;1070.925854;37.10385218;83.08160536;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;1;1191.111357;1070.925854;37.10385218;83.08160536;;;;;;;
;;;;;;2;1300.792796;1138.50244;0.46435038;161.8259648;;;;;;;
;;;;;;3;1494.107015;1151.603783;0.0563896;342.4468212;;;;;;;
;;;;;;4;1929.751773;1194.716574;0.00844276;735.0267438;;;;;;;
;;;;;;5;1940.07052;687.5679368;0.00493806;1252.497637;;;;;;;
