Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
3;8;1.8734265;0.3543634;1.5190631;55;1;2;2;2;0;;;;;;;;;
3;11;4.182132;0.3197227;3.8624093;56;1;2;2;2;0;;;;;;;;;
3;13;0.611157;NaN;0.611157;54;1;2;2;NaN;0;;;;;;;;;
3;14;33.87028;0.3145598;33.5557202;54;1;2;2;5;0;;;;;;;;;
3;15;10.2943531;NaN;10.2943531;52;1;2;2;NaN;0;;;;;;;;;
3;16;2.6828963;NaN;2.6828963;55;1;2;2;NaN;0;;;;;;;;;
3;18;4.423947;0.2469801;4.1769669;48;1;2;2;3;0;;;;;;;;;
4;9;44.0301047;0.3097482;43.7203565;59;1;2;3;8;1;;;;;;;;;
4;19;34.5567971;0.264779;34.2920181;51;1;2;3;12;1;;;;;;;;;
5;7;7.3193458;0.3726783;6.9466675;53;1;2;2;1;0;;;;;;;;;
5;8;4.5215456;0.3301408;4.1914048;53;1;2;2;11;0;;;;;;;;;
5;11;7.2576968;0.3310062;6.9266906;54;1;2;2;9;0;;;;;;;;;
5;13;4.8997104;0.372277;4.5274334;52;1;2;2;1;0;;;;;;;;;
5;14;16.1138284;0.3228799;15.7909485;52;1;2;2;9;0;;;;;;;;;
5;15;5.0127001;0.3444703;4.6682298;50;1;2;2;1;0;;;;;;;;;
5;16;7.3990402;0.3368221;7.0622181;53;1;2;2;1;0;;;;;;;;;
5;18;6.6572754;0.2564636;6.4008118;46;1;2;2;13;0;;;;;;;;;
6;9;40.3676303;0.2944912;40.0731391;61;1;2;3;8;1;;;;;;;;;
6;19;36.635616;1.1249038;35.5107122;53;1;2;3;10;1;;;;;;;;;
7;8;3.3837518;0.2916701;3.0920817;54;1;2;2;9;0;;;;;;;;;
7;11;4.512327;0.2816415;4.2306855;55;1;2;2;8;0;;;;;;;;;
7;13;3.6167192;0.3010669;3.3156523;53;1;2;2;0;0;;;;;;;;;
7;14;21.4772335;0.2804516;21.1967819;53;1;2;2;8;0;;;;;;;;;
7;15;8.8101942;0.2602729;8.5499213;51;1;2;2;0;0;;;;;;;;;
7;16;5.1746287;0.2722136;4.9024151;54;1;2;2;0;0;;;;;;;;;
7;18;3.7859398;0.2064353;3.5795045;47;1;2;2;8;0;;;;;;;;;
8;11;3.6715808;0.323706;3.3478748;55;1;2;2;2;0;;;;;;;;;
8;13;1.1117124;NaN;1.1117124;53;1;2;2;NaN;0;;;;;;;;;
8;14;18.4367334;0.3079329;18.1288005;53;1;2;2;5;0;;;;;;;;;
8;15;4.4790794;NaN;4.4790794;51;1;2;2;NaN;0;;;;;;;;;
8;16;3.0092042;NaN;3.0092042;54;1;2;2;NaN;0;;;;;;;;;
8;18;3.4497212;0.2499175;3.1998037;47;1;2;2;3;0;;;;;;;;;
9;10;8.1868618;0.2571449;7.9297169;51;1;2;3;11;1;;;;;;;;;
9;12;6.5036888;0.2722745;6.2314143;52;1;2;3;10;1;;;;;;;;;
9;17;20.9970118;0.2579486;20.7390632;52;1;2;3;10;1;;;;;;;;;
10;19;2.6794643;0.2257636;2.4537007;43;1;2;3;11;1;;;;;;;;;
11;13;4.1333685;0.2978654;3.8355031;54;1;2;2;11;0;;;;;;;;;
11;14;20.850659;0.2353515;20.6153075;54;1;2;2;3;0;;;;;;;;;
11;15;9.1406625;0.261893;8.8787695;52;1;2;2;11;0;;;;;;;;;
11;16;4.4370737;0.2629844;4.1740893;55;1;2;2;8;0;;;;;;;;;
11;18;2.2275636;0.1643821;2.0631815;48;1;2;2;0;0;;;;;;;;;
12;19;3.6897476;0.2229627;3.4667849;44;1;2;3;11;1;;;;;;;;;
13;14;15.7354106;0.30142;15.4339906;52;1;2;2;8;0;;;;;;;;;
13;15;4.8329256;0.3007683;4.5321573;50;1;2;2;0;0;;;;;;;;;
13;16;3.5659926;0.3005;3.2654926;53;1;2;2;0;0;;;;;;;;;
13;18;4.4339291;0.2129482;4.2209809;46;1;2;2;12;0;;;;;;;;;
14;15;21.6738862;1.1742409;20.4996453;50;1;2;2;8;0;;;;;;;;;
14;16;21.3553674;0.2680458;21.0873216;53;1;2;2;8;0;;;;;;;;;
14;18;14.5238254;0.1801019;14.3437235;46;1;2;2;3;0;;;;;;;;;
15;16;8.9618223;0.2665735;8.6952488;51;1;2;2;0;0;;;;;;;;;
15;18;8.3626615;0.1878784;8.1747831;44;1;2;2;12;0;;;;;;;;;
16;18;3.6820966;0.1820888;3.5000078;47;1;2;2;8;0;;;;;;;;;
17;19;14.2362629;0.2125805;14.0236824;44;1;2;3;10;1;;;;;;;;;
0;4;80.2278761;0.2246734;80.0032027;55;1;2.5;3;8;1;;;;;;;;;
0;6;86.8315497;0.203645;86.6279047;57;1;2.5;3;8;1;;;;;;;;;
0;10;18.5703781;0.1677572;18.4026209;47;1;2.5;3;8;1;;;;;;;;;
0;12;16.6381275;0.1478687;16.4902588;48;1;2.5;3;10;1;;;;;;;;;
0;17;31.9478414;0.1715757;31.7762657;48;1;2.5;3;8;1;;;;;;;;;
1;4;42.9914462;0.2727817;42.7186645;52;1;2.5;3;4;1;;;;;;;;;
1;6;40.5963855;0.2512473;40.3451382;54;1;2.5;3;4;1;;;;;;;;;
1;10;7.2575662;0.2142389;7.0433273;44;1;2.5;3;5;1;;;;;;;;;
1;12;6.2552386;0.227263;6.0279756;45;1;2.5;3;8;1;;;;;;;;;
1;17;19.8848799;0.2211287;19.6637512;45;1;2.5;3;5;1;;;;;;;;;
3;4;42.5130921;0.3471232;42.1659689;58;1;2.5;3;8;1;;;;;;;;;
3;6;46.1877421;0.3282545;45.8594876;60;1;2.5;3;8;1;;;;;;;;;
3;10;1.0720866;0.3020415;0.7700451;50;1;2.5;3;5;1;;;;;;;;;
3;12;3.005796;0.2954301;2.7103659;51;1;2.5;3;5;1;;;;;;;;;
3;17;14.6646684;0.2940685;14.3705999;51;1;2.5;3;6;1;;;;;;;;;
4;5;18.5323277;0.3757566;18.1565711;56;1;2.5;3;8;1;;;;;;;;;
4;7;28.5608737;0.3319435;28.2289302;57;1;2.5;3;4;1;;;;;;;;;
4;8;23.5731059;0.3497731;23.2233328;57;1;2.5;3;8;1;;;;;;;;;
4;11;28.0983515;0.271529;27.8268225;58;1;2.5;3;6;1;;;;;;;;;
4;13;20.089394;0.3397538;19.7496402;56;1;2.5;3;4;1;;;;;;;;;
4;14;74.751105;0.2856977;74.4654073;56;1;2.5;3;4;1;;;;;;;;;
4;15;24.5210201;0.303479;24.2175411;54;1;2.5;3;4;1;;;;;;;;;
4;16;28.5581329;0.3056337;28.2524992;57;1;2.5;3;4;1;;;;;;;;;
4;18;19.548764;0.1990797;19.3496843;50;1;2.5;3;4;1;;;;;;;;;
5;6;23.9769841;1.2283435;22.7486406;58;1;2.5;3;7;1;;;;;;;;;
5;10;3.5325746;0.3138547;3.2187199;48;1;2.5;3;12;1;;;;;;;;;
5;12;5.1589043;0.3267395;4.8321648;49;1;2.5;3;14;1;;;;;;;;;
5;17;6.4601166;0.3091282;6.1509884;49;1;2.5;3;5;1;;;;;;;;;
6;7;29.3623068;0.32642;29.0358868;59;1;2.5;3;4;1;;;;;;;;;
6;8;26.0565919;0.326981;25.7296109;59;1;2.5;3;8;1;;;;;;;;;
6;11;26.6916691;0.255182;26.4364871;60;1;2.5;3;4;1;;;;;;;;;
6;13;23.5004895;0.3194173;23.1810722;58;1;2.5;3;5;1;;;;;;;;;
6;14;81.4902915;0.2671016;81.2231899;58;1;2.5;3;4;1;;;;;;;;;
6;15;31.1334779;0.2944082;30.8390697;56;1;2.5;3;5;1;;;;;;;;;
6;16;29.1090285;0.2870413;28.8219872;59;1;2.5;3;4;1;;;;;;;;;
6;18;17.4047375;0.1811077;17.2236298;52;1;2.5;3;4;1;;;;;;;;;
7;10;4.4520486;0.2558805;4.1961681;49;1;2.5;3;12;1;;;;;;;;;
7;12;4.7769164;0.2675837;4.5093327;50;1;2.5;3;14;1;;;;;;;;;
7;17;12.1816582;0.2695399;11.9121183;50;1;2.5;3;4;1;;;;;;;;;
8;10;1.6193158;0.3095387;1.3097771;49;1;2.5;3;5;1;;;;;;;;;
8;12;2.4525508;0.2847599;2.1677909;50;1;2.5;3;7;1;;;;;;;;;
8;17;6.5918421;0.2926756;6.2991665;50;1;2.5;3;6;1;;;;;;;;;
10;11;5.233095;0.2467852;4.9863098;50;1;2.5;3;4;1;;;;;;;;;
10;13;0.8110156;NaN;0.8110156;48;1;2.5;3;NaN;1;;;;;;;;;
10;14;17.8604432;0.239743;17.6207002;48;1;2.5;3;4;1;;;;;;;;;
10;15;3.2720077;0.1461862;3.1258215;46;1;2.5;3;11;1;;;;;;;;;
10;16;4.2209439;NaN;4.2209439;49;1;2.5;3;NaN;1;;;;;;;;;
10;18;4.9503646;0.1822525;4.7681121;42;1;2.5;3;5;1;;;;;;;;;
11;12;4.7029598;0.2338754;4.4690844;51;1;2.5;3;8;1;;;;;;;;;
11;17;12.2800217;0.2214628;12.0585589;51;1;2.5;3;4;1;;;;;;;;;
12;13;2.9500104;0.3043492;2.6456612;49;1;2.5;3;14;1;;;;;;;;;
12;14;16.2771261;0.227242;16.0498841;49;1;2.5;3;8;1;;;;;;;;;
12;15;5.3796685;0.2665203;5.1131482;47;1;2.5;3;14;1;;;;;;;;;
12;16;4.7237718;0.2681068;4.455665;50;1;2.5;3;14;1;;;;;;;;;
12;18;4.3449303;0.1644672;4.1804631;43;1;2.5;3;8;1;;;;;;;;;
13;17;6.6877624;0.2807801;6.4069823;49;1;2.5;3;4;1;;;;;;;;;
14;17;31.021608;0.2323669;30.7892411;49;1;2.5;3;7;1;;;;;;;;;
15;17;7.0243323;0.2599502;6.7643821;47;1;2.5;3;4;1;;;;;;;;;
16;17;12.2864701;0.2488782;12.0375919;50;1;2.5;3;4;1;;;;;;;;;
17;18;10.8697773;0.1669843;10.702793;43;1;2.5;3;5;1;;;;;;;;;
4;6;99.2726295;0.3014327;98.9711968;62;1;3;3;0;0;;;;;;;;;
4;10;21.2741727;NaN;21.2741727;52;1;3;3;NaN;0;;;;;;;;;
4;12;19.3292577;0.2228936;19.1063641;53;1;3;3;9;0;;;;;;;;;
4;17;35.9582111;0.2693436;35.6888675;53;1;3;3;0;0;;;;;;;;;
6;10;25.8332041;NaN;25.8332041;54;1;3;3;NaN;0;;;;;;;;;
6;12;22.4184154;0.2111583;22.2072571;55;1;3;3;10;0;;;;;;;;;
6;17;43.8244839;0.2513929;43.573091;55;1;3;3;1;0;;;;;;;;;
10;12;1.9973211;0.2448841;1.752437;45;1;3;3;1;0;;;;;;;;;
10;17;4.8449407;0.2393403;4.6056004;45;1;3;3;8;0;;;;;;;;;
12;17;6.7112203;0.1841008;6.5271195;46;1;3;3;9;0;;;;;;;;;
