Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality
1,3,2.836818400000027,1.8711951999999883,0.9656232000000387,28,1.0,1.0,1,8,0
1,4,21.512780399999997,4.841619700000024,16.671160699999973,29,1.0,1.0,1,11,0
1,5,0.0698186999999848,0.05350060000000667,0.01631809999997813,22,1.0,1.0,1,6,0
1,6,2.5114454999999225,2.375895299999968,0.13555019999995466,29,1.0,1.0,1,9,0
1,7,1.9121528000000012,0.5683037999999669,1.3438490000000343,30,1.0,1.5,2,11,1
1,8,0.22333209999999326,0.09740659999999934,0.12592549999999392,25,1.0,1.5,2,10,1
1,9,1.4994945000000257,0.5185500000000047,0.980944500000021,29,1.0,1.5,2,11,1
1,10,5.198296000000028,1.7400564000000145,3.458239600000013,31,1.0,1.5,2,12,1
1,11,19.41941330000003,1.3342906000000312,18.0851227,30,1.0,1.5,2,15,1
1,12,8.190007300000048,1.950195000000008,6.23981230000004,27,1.0,1.0,1,10,0
1,13,1.092079999999953,1.084178599999973,0.007901399999980185,27,1.0,1.0,1,6,0
1,14,0.5221153999999615,0.0665779999999927,0.4555373999999688,24,1.0,1.5,2,10,1
1,15,1.552422399999955,0.4857523999999671,1.0666699999999878,25,1.0,1.0,1,8,0
1,16,0.49321359999999004,0.0686911999999893,0.42452240000000074,24,1.0,1.5,2,10,1
1,17,7.201592600000026,1.8997406999999953,5.301851900000031,27,1.0,1.0,1,10,0
1,18,2.6238245999999776,1.905619799999954,0.7182048000000236,28,1.0,1.0,1,9,0
1,19,0.18133389999997007,0.06192609999999377,0.1194077999999763,25,1.0,1.5,2,9,1
1,20,0.06645960000003015,0.04259490000004007,0.02386469999999008,19,1.0,1.0,1,10,0
1,21,0.22061820000004673,0.09634850000003325,0.12426970000001347,25,1.0,1.5,2,10,1
1,22,0.5955149999999776,0.22792699999996557,0.367588000000012,24,1.0,1.0,1,7,0
1,23,2.7760359999999764,1.9394909000000098,0.8365450999999666,28,1.0,1.0,1,9,0
1,24,0.09164310000005571,0.017214000000024043,0.07442910000003167,25,1.0,1.0,1,2,0
1,25,0.07283300000000281,0.035369699999989734,0.03746330000001308,23,1.0,1.0,1,5,0
1,26,1.489565999999968,0.423590699999977,1.065975299999991,25,1.0,1.5,2,10,1
1,27,0.4465668000000278,0.43806860000000825,0.008498200000019551,25,1.0,1.0,1,6,0
1,28,0.12373469999999998,0.01817390000002206,0.10556079999997792,23,1.0,1.0,1,3,0
1,29,0.03460339999998041,0.01910499999996773,0.01549840000001268,19,1.0,1.0,1,9,0
1,30,3.8155457000000297,0.2630115000000046,3.552534200000025,27,1.0,1.5,2,8,1
1,31,3.9146226000000297,2.5048762000000124,1.4097464000000173,28,1.0,1.0,1,8,0
1,32,0.16861210000001847,0.14875330000000986,0.019858800000008614,22,1.0,1.0,1,8,0
1,33,0.29348079999999754,0.24732230000000754,0.04615849999999,24,1.0,1.0,1,7,0
1,34,1.187840499999993,0.3982217000000219,0.7896187999999711,25,1.0,1.0,1,8,0
1,35,1.8634628000000362,0.5497745000000123,1.313688300000024,29,1.0,1.5,2,12,1
1,36,0.2787496999999348,0.017403799999954117,0.2613458999999807,24,1.0,1.0,1,3,0
1,37,1.1924191999999607,0.8393327999999656,0.35308639999999514,27,1.0,1.5,2,13,1
1,38,0.45874889999998913,0.351422800000023,0.10732609999996612,25,1.0,1.0,1,6,0
1,39,0.8855633000000012,0.3535573999999997,0.5320059000000015,28,1.0,1.5,2,11,1
1,40,2.155777100000023,0.5334900999999945,1.6222870000000285,26,1.0,1.5,2,15,1
1,41,0.2664967000000047,0.21291980000000876,0.05357689999999593,24,1.0,1.0,1,7,0
1,42,4.065839899999958,2.5882252999999764,1.4776145999999812,28,1.0,1.0,1,8,0
1,43,4.549699199999964,1.2550441999999862,3.2946549999999775,31,1.0,2.0,3,15,1
1,44,2.1081248999999502,0.6489512999999647,1.4591735999999855,29,1.0,1.5,2,11,1
1,45,5.7660306999999875,3.6443492999999876,2.1216814,29,1.0,1.0,1,9,0
