Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;n;;;1;2;3;4;5
1;9;0.2903793;0.0787326;0.2116467;28;1;2;2;7;0;2;;;;;;;
2;3;29.9125725;4.2284194;25.6841531;33;1;1.5;2;14;1;2;;;;;;;
2;4;3.3643654;0.1529604;3.211405;30;1;2;2;5;0;2;;;;;;;
2;5;8.1547101;0.835918;7.3187921;30;1;2;2;17;0;2;;;;;;;
2;6;1.6979359;0.1113168;1.5866191;28;1;2;2;8;0;2;;;;;;;
2;7;2.8729972;0.1263;2.7466972;29;1;2;2;9;0;2;;;;;;;
2;8;19.9855248;0.9325506;19.0529742;30;1;1.5;2;12;1;2;;;;;;;
2;9;2.2147402;0.1591594;2.0555808;29;1;2;2;8;0;2;;;;;;;
3;4;2.6947872;2.5141144;0.1806728;33;1;1.5;2;12;1;2;;;;;;;
3;5;57.6445081;57.4103171;0.234191;33;1;1.5;2;16;1;2;;;;;;;
3;6;11.7463389;2.3351678;9.4111711;31;1;1.5;2;11;1;2;;;;;;;
3;7;20.1766591;2.943887;17.2327721;32;1;1.5;2;10;1;2;;;;;;;
3;8;18.3626793;11.4508026;6.9118767;33;1;1;1;11;0;2;;;;;;;
3;9;7.8957367;7.4023879;0.4933488;32;1;1.5;2;12;1;2;;;;;;;
4;5;1.0426451;0.8690286;0.1736165;30;1;2;2;16;0;2;;;;;;;
4;6;2.3885847;0.0319925;2.3565922;28;1;2;2;6;0;2;;;;;;;
4;7;4.0497468;0.0270552;4.0226916;29;1;2;2;5;0;2;;;;;;;
4;8;4.1561164;0.7012695;3.4548469;30;1;1.5;2;11;1;2;;;;;;;
4;9;0.0599529;0.0404131;0.0195398;29;1;2;2;5;0;2;;;;;;;
5;6;3.6566629;0.4389619;3.217701;28;1;2;2;15;0;2;;;;;;;
5;7;11.1055902;1.0107495;10.0948407;29;1;2;2;15;0;2;;;;;;;
5;8;4.2903769;1.148636;3.1417409;30;1;1.5;2;13;1;2;;;;;;;
5;9;0.4239389;0.3509025;0.0730364;29;1;2;2;17;0;2;;;;;;;
6;7;0.0351228;0.0231885;0.0119343;27;1;2;2;1;0;2;;;;;;;
6;8;8.7032118;0.4435146;8.2596972;28;1;1.5;2;12;1;2;;;;;;;
6;9;1.7313803;0.0397226;1.6916577;27;1;2;2;3;0;2;;;;;;;
7;8;15.3875887;0.6897951;14.6977936;29;1;1.5;2;11;1;2;;;;;;;
