Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
1;12;4.1430711;0.095719;4.0473521;35;1;1.5;2;8;1;;Average;10.4639217;;Average;10.33481049;;Average;0.129111215
2;12;2.5571522;0.10969;2.4474622;35;1;1.5;2;4;1;;Median;3.72347935;;Median;3.62096335;;Median;0.1212565
3;12;1.1943836;0.092458;1.1019256;34;1;1.5;2;10;1;;Maximum;67.2497044;;Maximum;67.0951744;;Maximum;0.3210844
4;12;6.18542;0.1191695;6.0662505;38;1;1.5;2;8;1;;Minimum;0.1558933;;Minimum;0.0374388;;Minimum;0.0634736
5;12;14.8842648;0.1493385;14.7349263;39;1;1.5;2;10;1;;;;;;;;;
7;12;0.8664065;0.1039487;0.7624578;34;1;1.5;2;11;1;;;;;;;;;
8;12;16.3450747;0.1137752;16.2312995;39;1;1.5;2;10;1;;1;NaN;;;;;;
12;13;0.8033882;0.1028729;0.7005153;33;1;1.5;2;8;1;;1.5;6.680372415;;;;;;
12;15;1.3960226;0.1336511;1.2623715;34;1;1.5;2;10;1;;2;7.662249637;;;;;;
12;16;6.8111142;0.0966902;6.714424;35;1;1.5;2;4;1;;2.5;12.43470611;;;;;;
12;17;1.263224;0.1011682;1.1620558;34;1;1.5;2;11;1;;3;19.18428242;;;;;;
12;18;12.5412595;0.1055295;12.43573;35;1;1.5;2;12;1;;;;;;;;;
12;19;17.85406;0.1227806;17.7312794;38;1;1.5;2;13;1;;;;;;;;;
0;12;17.1569392;0.1146815;17.0422577;42;1;2;3;16;1;;2.25;;;;;;;
1;2;1.1134912;0.0708076;1.0426836;36;1;2;2;15;0;;;;;;;;;
1;3;0.7274626;0.0726803;0.6547823;35;1;2;2;15;0;;;;;;;;;
1;4;3.2849305;0.0773732;3.2075573;39;1;2;2;18;0;;;;;;;;;
1;5;12.2804949;0.1505139;12.129981;40;1;2;2;11;0;;;;;;;;;
1;7;0.316557;0.069437;0.24712;35;1;2;2;15;0;;;;;;;;;
1;8;7.6903561;0.1312623;7.5590938;40;1;2;2;9;0;;;;;;;;;
1;13;1.4875831;0.0719023;1.4156808;34;1;2;2;16;0;;;;;;;;;
1;15;0.4899411;0.0930471;0.396894;35;1;2;2;15;0;;;;;;;;;
1;16;1.597627;0.0918873;1.5057397;36;1;2;2;19;0;;;;;;;;;
1;17;0.4276809;0.0723563;0.3553246;35;1;2;2;15;0;;;;;;;;;
1;18;4.3181064;0.0635369;4.2545695;36;1;2;2;4;0;;;;;;;;;
1;19;1.9820613;0.0819647;1.9000966;39;1;2;2;7;0;;;;;;;;;
2;3;0.6884604;0.1051553;0.5833051;35;1;2;2;5;0;;;;;;;;;
2;4;3.5191523;0.129086;3.3900663;39;1;2;2;7;0;;;;;;;;;
2;5;7.1076031;0.0984917;7.0091114;40;1;2;2;16;0;;;;;;;;;
2;7;0.345618;0.1126853;0.2329327;35;1;2;2;0;0;;;;;;;;;
2;8;9.2778837;0.093477;9.1844067;40;1;2;2;16;0;;;;;;;;;
2;13;1.0602683;0.1142338;0.9460345;34;1;2;2;6;0;;;;;;;;;
2;15;0.1704716;0.1330328;0.0374388;35;1;2;2;4;0;;;;;;;;;
2;16;0.454897;0.1106758;0.3442212;36;1;2;2;2;0;;;;;;;;;
2;17;0.3389025;0.1099668;0.2289357;35;1;2;2;5;0;;;;;;;;;
2;18;0.8534508;0.1071317;0.7463191;36;1;2;2;15;0;;;;;;;;;
2;19;2.9855623;0.0991486;2.8864137;39;1;2;2;14;0;;;;;;;;;
3;4;3.703469;0.1198933;3.5835757;38;1;2;2;7;0;;;;;;;;;
3;5;8.123068;0.0966897;8.0263783;39;1;2;2;13;0;;;;;;;;;
3;7;0.4581023;0.1089041;0.3491982;34;1;2;2;3;0;;;;;;;;;
3;8;9.7547066;0.0929624;9.6617442;39;1;2;2;13;0;;;;;;;;;
3;13;0.7791894;0.1073882;0.6718012;33;1;2;2;5;0;;;;;;;;;
3;15;0.6880498;0.1134489;0.5746009;34;1;2;2;4;0;;;;;;;;;
3;16;1.2423948;0.1032803;1.1391145;35;1;2;2;8;0;;;;;;;;;
3;17;0.5605021;0.0994159;0.4610862;34;1;2;2;0;0;;;;;;;;;
3;18;1.8035209;0.0960803;1.7074406;35;1;2;2;13;0;;;;;;;;;
3;19;3.4819358;0.0907519;3.3911839;38;1;2;2;15;0;;;;;;;;;
4;5;35.4600902;0.1175625;35.3425277;43;1;2;2;12;0;;;;;;;;;
4;7;1.8856021;0.1350321;1.75057;38;1;2;2;8;0;;;;;;;;;
4;8;19.5191545;0.1120242;19.4071303;43;1;2;2;12;0;;;;;;;;;
4;13;0.807999;0.1246815;0.6833175;37;1;2;2;3;0;;;;;;;;;
4;15;4.5201003;0.1474057;4.3726946;38;1;2;2;15;0;;;;;;;;;
4;16;7.9785166;0.1149869;7.8635297;39;1;2;2;0;0;;;;;;;;;
4;17;3.3323168;0.1253717;3.2069451;38;1;2;2;8;0;;;;;;;;;
4;18;14.8009416;0.1169743;14.6839673;39;1;2;2;13;0;;;;;;;;;
4;19;10.6019941;0.1165652;10.4854289;42;1;2;2;17;0;;;;;;;;;
5;7;4.2678018;0.0875625;4.1802393;39;1;2;2;16;0;;;;;;;;;
5;8;55.6649136;0.0634736;55.60144;44;1;2;2;0;0;;;;;;;;;
5;13;6.9566428;0.1093336;6.8473092;38;1;2;2;14;0;;;;;;;;;
5;15;9.8335202;0.2151512;9.618369;39;1;2;2;18;0;;;;;;;;;
5;16;31.1329861;0.3210844;30.8119017;40;1;2;2;16;0;;;;;;;;;
5;17;7.9726473;0.0958652;7.8767821;39;1;2;2;16;0;;;;;;;;;
5;18;21.1720759;0.3068134;20.8652625;40;1;2;2;8;0;;;;;;;;;
5;19;53.3085294;0.2363568;53.0721726;43;1;2;2;7;0;;;;;;;;;
6;12;19.4497154;0.1180136;19.3317018;41;1;2;3;18;1;;;;;;;;;
7;8;3.7434897;0.0851387;3.658351;39;1;2;2;16;0;;;;;;;;;
7;13;0.5079925;0.1203769;0.3876156;33;1;2;2;2;0;;;;;;;;;
7;15;0.262944;0.1054185;0.1575255;34;1;2;2;4;0;;;;;;;;;
7;16;0.4746069;0.1101945;0.3644124;35;1;2;2;9;0;;;;;;;;;
