Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
2;4;3.0102424;NaN;3.0102424;55;1;2;2;NaN;0;;Average;43.19334387;;Average;42.74777425;;Average;0.475608017
2;9;5.7385416;0.444788;5.2937536;59;1;2;2;0;0;;Median;31.4543126;;Median;31.14789055;;Median;0.4290791
2;13;1.9440911;0.3760415;1.5680496;56;1;2;2;0;0;;Maximum;151.0555274;;Maximum;150.5356408;;Maximum;1.4550873
2;19;1.108782;0.345096;0.763686;56;1;2;2;0;0;;Minimum;1.0848247;;Minimum;0.763686;;Minimum;0.1757696
4;9;15.8531465;NaN;15.8531465;60;1;2;2;NaN;0;;;;;;;;;
4;13;8.1116308;NaN;8.1116308;57;1;2;2;NaN;0;;;;;;;;;
4;19;6.0827796;NaN;6.0827796;57;1;2;2;NaN;0;;;;;;;;;
9;13;12.6095082;0.4434859;12.1660223;61;1;2;2;0;0;;;;;;;;;
9;19;8.2223269;1.4311473;6.7911796;61;1;2;2;0;0;;;;;;;;;
13;19;2.1685569;0.3941925;1.7743644;58;1;2;2;0;0;;;;;;;;;
0;2;2.6859929;0.3282016;2.3577913;58;1;2.5;3;8;1;;1;NaN;;;;;;
0;4;31.3583004;0.2649785;31.0933219;59;1;2.5;3;8;1;;1.5;NaN;;;;;;
0;9;23.1121553;0.4322366;22.6799187;63;1;2.5;3;7;1;;2;6.4849606;;;;;;
0;13;13.4344008;0.3408406;13.0935602;60;1;2.5;3;7;1;;2.5;23.73073029;;;;;;
0;19;2.8150802;0.3487451;2.4663351;60;1;2.5;3;8;1;;3;60.59124722;;;;;;
1;2;1.0848247;NaN;1.0848247;52;1;2.5;3;NaN;1;;;;;;;;;
1;4;6.7967905;0.2667492;6.5300413;53;1;2.5;3;11;1;;2.75;;;;;;;
1;9;10.2600111;0.3840857;9.8759254;57;1;2.5;3;14;1;;;;;;;;;
1;13;3.9565701;0.2975282;3.6590419;54;1;2.5;3;14;1;;;;;;;;;
1;19;1.9198278;NaN;1.9198278;54;1;2.5;3;NaN;1;;;;;;;;;
2;3;5.12194;0.5256174;4.5963226;64;1;2.5;3;11;1;;;;;;;;;
2;5;7.1339596;0.4667733;6.6671863;60;1;2.5;3;16;1;;;;;;;;;
2;6;16.620037;0.4652389;16.1547981;63;1;2.5;3;17;1;;;;;;;;;
2;7;5.2763415;1.4301537;3.8461878;58;1;2.5;3;4;1;;;;;;;;;
2;8;4.3119337;0.4074679;3.9044658;60;1;2.5;3;8;1;;;;;;;;;
2;10;5.4839775;0.4464444;5.0375331;63;1;2.5;3;7;1;;;;;;;;;
2;11;2.6527344;0.3433651;2.3093693;57;1;2.5;3;8;1;;;;;;;;;
2;12;3.9072326;0.4269157;3.4803169;60;1;2.5;3;4;1;;;;;;;;;
