Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
0;1;0.3742744;0.088097;0.2861774;32;1;1;1;0;0;;Average;2.232463379;;Average;2.145057476;;Average;0.087405903
0;5;0.7035913;0.0641003;0.639491;31;1;1;1;2;0;;Median;0.79207305;;Median;0.6789187;;Median;0.08016655
0;9;0.8619665;0.0796439;0.7823226;33;1;1;1;2;0;;Maximum;22.9200794;;Maximum;22.8728648;;Maximum;0.9357452
0;10;1.7151613;0.0859297;1.6292316;33;1;1;1;4;0;;Minimum;0.0994423;;Minimum;0.0321423;;Minimum;0.0379306
0;11;0.4312132;0.0668247;0.3643885;29;1;1;1;6;0;;;;;;;;;
0;12;0.7754809;0.0840454;0.6914355;33;1;1;1;2;0;;;;;;;;;
0;13;0.1887272;0.0769615;0.1117657;30;1;1;1;3;0;;1;0.569901976;;;;;;
0;17;1.6121615;0.0690492;1.5431123;33;1;1;1;1;0;;1.5;2.79745819;;;;;;
0;19;0.26731;0.064041;0.203269;26;1;1;1;0;0;;2;2.639480758;;;;;;
1;5;0.7129846;0.0546814;0.6583032;31;1;1;1;2;0;;2.5;NaN;;;;;;
1;9;0.8383022;0.0732582;0.765044;33;1;1;1;2;0;;3;NaN;;;;;;
1;10;1.7621748;0.0749896;1.6871852;33;1;1;1;3;0;;;;;;;;;
1;11;0.4760353;0.0628938;0.4131415;29;1;1;1;0;0;;1.5;;;;;;;
1;12;0.8086652;0.0735973;0.7350679;33;1;1;1;2;0;;;;;;;;;
1;13;0.2838209;0.0710046;0.2128163;30;1;1;1;3;0;;;;;;;;;
1;17;1.722135;0.0646834;1.6574516;33;1;1;1;1;0;;;;;;;;;
1;19;0.279386;0.0694647;0.2099213;26;1;1;1;9;0;;;;;;;;;
5;9;0.1653607;0.0563264;0.1090343;32;1;1;1;0;0;;;;;;;;;
5;10;0.3977674;0.0639101;0.3338573;32;1;1;1;3;0;;;;;;;;;
5;11;0.3078585;0.0571082;0.2507503;28;1;1;1;6;0;;;;;;;;;
5;12;0.3419208;0.0586495;0.2832713;32;1;1;1;0;0;;;;;;;;;
5;13;0.3620033;0.0531074;0.3088959;29;1;1;1;4;0;;;;;;;;;
5;17;0.5159043;0.0379306;0.4779737;32;1;1;1;3;0;;;;;;;;;
5;19;0.0994423;0.0479851;0.0514572;25;1;1;1;8;0;;;;;;;;;
9;10;0.3815355;0.0768179;0.3047176;34;1;1;1;3;0;;;;;;;;;
9;11;0.3417603;0.0653893;0.276371;30;1;1;1;6;0;;;;;;;;;
9;12;0.3488619;0.0774567;0.2714052;34;1;1;1;0;0;;;;;;;;;
9;13;0.4487314;0.0677438;0.3809876;31;1;1;1;5;0;;;;;;;;;
9;17;0.5215154;0.0629465;0.4585689;34;1;1;1;3;0;;;;;;;;;
9;19;0.1057629;0.0736206;0.0321423;27;1;1;1;0;0;;;;;;;;;
10;11;0.5099647;0.0719652;0.4379995;30;1;1;1;0;0;;;;;;;;;
10;12;0.6836329;0.0793569;0.604276;34;1;1;1;0;0;;;;;;;;;
