Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality
0,1,14.611297399999998,2.1875237,12.423773699999998,30,1.0,1.5,2,12,1
0,2,1.5372456999999855,0.3103371999999922,1.2269084999999933,30,1.0,1.0,1,7,0
0,3,0.19298260000000766,0.159498499999998,0.033484100000009676,22,1.0,1.0,1,15,0
0,4,10.571988099999999,0.021733900000000972,10.550254199999998,34,1.0,1.0,1,3,0
0,5,2.8464343999999926,1.2824315000000013,1.5640028999999913,27,1.0,1.0,1,12,0
0,6,18.343354199999993,1.1372968999999955,17.206057299999998,32,1.0,1.5,2,9,1
0,7,12.552110599999992,0.05121330000000057,12.500897299999991,32,1.0,1.0,1,4,0
0,8,2.4169403000000216,1.234782000000024,1.1821582999999976,25,1.0,1.0,1,14,0
0,9,6.2438576000000126,0.14635069999999928,6.097506900000013,28,1.0,1.0,1,8,0
0,10,0.3375895000000071,0.03602879999999686,0.30156070000001023,26,1.0,1.0,1,7,0
0,11,21.088362999999987,5.496557699999983,15.591805300000004,28,1.0,1.5,2,17,1
0,12,4.6182503,0.051787799999999606,4.5664625,30,1.0,1.5,2,8,1
0,13,20.66105520000002,5.403632900000019,15.257422300000002,28,1.0,1.5,2,17,1
0,14,1.4911918999999898,0.021065300000003617,1.4701265999999862,30,1.0,1.0,1,3,0
0,15,8.870747099999988,1.3792554999999993,7.491491599999989,33,1.0,1.5,2,12,1
0,16,3.8303140000000155,0.528177200000016,3.3021367999999995,29,1.0,1.0,1,7,0
0,17,0.047380300000014586,0.03634089999999901,0.011039400000015576,26,1.0,1.0,1,7,0
0,18,30.91675520000001,5.420167100000015,25.496588099999997,31,1.0,1.0,1,9,0
0,19,35.349030700000014,3.038085599999988,32.310945100000026,35,1.0,1.5,2,10,1
0,20,5.208444799999995,1.938540899999964,3.269903900000031,31,1.0,1.5,2,15,1
0,21,21.458632499999965,0.6553602999999839,20.80327219999998,32,1.0,1.0,1,6,0
0,22,1.5416091999999253,0.029103799999973035,1.5125053999999523,31,1.0,1.0,1,5,0
0,23,5.345316099999991,0.023302000000001044,5.32201409999999,31,1.0,1.0,1,3,0
0,24,2.2406985000000645,1.125920600000029,1.1147779000000355,25,1.0,1.0,1,14,0
0,25,6.853662600000007,0.9470589000000018,5.906603700000005,31,1.0,1.5,2,10,1
0,26,21.992224299999975,2.552491900000007,19.43973239999997,30,1.0,1.5,2,12,1
0,27,19.091214400000013,1.7266987000000427,17.36451569999997,34,1.0,1.5,2,10,1
0,28,2.2253742999999986,1.1175149000000033,1.1078593999999953,25,1.0,1.0,1,13,0
0,29,2.031438900000012,2.0067505999999753,0.024688300000036634,27,1.0,1.5,2,15,1
0,30,7.186822600000028,2.625067999999999,4.561754600000029,28,1.0,1.0,1,12,0
0,31,7.660978000000057,0.9775404000000094,6.6834376000000475,31,1.0,1.5,2,10,1
0,32,1.3972717999999986,0.01764539999999215,1.3796264000000065,32,1.0,1.0,1,2,0
0,33,20.74092580000007,5.3555165000000216,15.385409300000049,28,1.0,1.5,2,17,1
0,34,14.893806900000016,3.954973999999993,10.938832900000023,28,1.0,1.0,1,12,0
0,35,32.530079299999954,2.159279099999992,30.370800199999962,34,1.0,1.5,2,10,1
0,36,7.44965289999999,3.046369700000014,4.403283199999976,29,1.0,1.5,2,16,1
0,37,24.635062500000004,1.7266750000000002,22.908387500000003,33,1.0,1.5,2,11,1
0,38,4.7907334999999875,1.8357780000000048,2.9549554999999827,30,1.0,1.5,2,16,1
0,39,29.50979499999994,3.202387799999997,26.307407199999943,35,1.0,1.5,2,10,1
0,40,5.6813938000000235,1.8346013000000312,3.8467924999999923,30,1.0,1.0,1,9,0
0,41,10.435967800000071,1.500410200000033,8.935557600000038,32,1.0,1.5,2,13,1
0,42,0.7572986000001265,0.4575491000000511,0.2997495000000754,24,1.0,1.0,1,12,0
0,43,96.34225419999996,14.53221880000001,81.81003539999995,29,1.0,1.5,2,18,1
0,44,8.50698090000003,2.3631472000000713,6.143833699999959,29,1.0,1.0,1,9,0
0,45,16.459569399999964,3.3293919999999844,13.13017739999998,35,1.0,1.5,2,9,1
0,46,4.634581999999909,1.5881488999999647,3.0464330999999447,28,1.0,1.0,1,10,0
0,47,18.287317099999996,1.1191360999999915,17.168181000000004,32,1.0,1.5,2,11,1
0,48,0.7082020999999941,0.6970638000000235,0.011138299999970513,26,1.0,1.0,1,10,0
0,49,16.87254910000013,1.5835062000001017,15.289042900000027,33,1.0,1.5,2,12,1
1,2,4.404098399999953,0.7300144999999247,3.674083900000028,28,1.0,1.5,2,9,1
1,3,0.07153790000006666,0.04659900000001471,0.024938900000051945,20,1.0,1.5,2,14,1
1,4,6.504433600000084,6.470903900000053,0.03352970000003097,32,1.0,1.5,2,11,1
1,5,0.08158550000007381,0.0673780000000761,0.014207499999997708,25,1.0,1.5,2,8,1
1,6,0.5297481000000062,0.03469749999999294,0.4950506000000132,30,1.0,2.0,2,4,0
1,7,3.090511699999979,1.8697012000000086,1.2208104999999705,30,1.0,1.5,2,11,1
1,8,0.11724139999989802,0.10343569999997726,0.013805699999920762,23,1.0,1.5,2,12,1
1,9,0.2627155999999786,0.17299070000001393,0.08972489999996469,26,1.0,1.5,2,8,1
1,10,0.06916590000002998,0.055030600000009144,0.014135300000020834,24,1.0,1.5,2,6,1
1,11,0.1432020999999395,0.12285980000001473,0.020342299999924762,26,1.0,2.0,2,15,0
1,12,2.645651500000099,0.4170546000000286,2.2285969000000705,28,1.0,2.0,2,7,0
1,13,0.12928980000015144,0.10948240000004716,0.01980740000010428,26,1.0,2.0,2,14,0
1,14,0.5428487000000359,0.48996520000002874,0.05288350000000719,28,1.0,1.5,2,9,1
1,15,6.565675599999963,0.08607159999996838,6.479603999999995,31,1.0,2.0,2,8,0
1,16,0.4021804000000202,0.260153100000025,0.1420272999999952,27,1.0,1.5,2,8,1
1,17,0.1098107999999911,0.04797269999994569,0.061838100000045415,24,1.0,1.5,2,8,1
1,18,1.6184922999999571,0.5285281000000168,1.0899641999999403,29,1.0,1.5,2,12,1
1,19,0.2732749000000467,0.24877190000006522,0.024502999999981512,33,1.0,2.0,2,7,0
1,20,6.685635900000079,1.3401049000000285,5.345531000000051,29,1.0,2.0,2,17,0
1,21,2.962158000000045,1.529445600000031,1.432712400000014,30,1.0,1.5,2,10,1
1,22,12.034532899999931,1.5554266999999982,10.479106199999933,29,1.0,1.5,2,10,1
1,23,1.3363057000000254,0.773539000000028,0.5627666999999974,29,1.0,1.5,2,10,1
1,24,0.06954659999996693,0.05587869999999384,0.013667899999973088,23,1.0,1.5,2,10,1
1,25,0.08416970000007495,0.03467780000005405,0.049491900000020905,29,1.0,2.0,2,3,0
1,26,0.18176660000005995,0.02850279999995564,0.1532638000001043,28,1.0,2.0,2,3,0
1,27,1.1190760999999156,0.08357259999991129,1.0355035000000044,32,1.0,2.0,2,9,0
1,28,0.10366069999997762,0.0904700999999477,0.013190600000029917,23,1.0,1.5,2,10,1
1,29,0.30657479999990755,0.0774888999999348,0.22908589999997275,25,1.0,2.0,2,16,0
1,30,0.37959030000001803,0.3646073999999544,0.014982900000063637,26,1.0,1.5,2,9,1
1,31,3.157755400000042,0.028018399999950816,3.129737000000091,29,1.0,2.0,2,3,0
1,32,20.73629440000002,2.4412055000000237,18.295088899999996,30,1.0,1.5,2,11,1
1,33,0.12822600000004059,0.10886300000004212,0.019362999999998465,26,1.0,2.0,2,14,0
1,34,0.6120051999999987,0.4143430999999964,0.19766210000000228,26,1.0,1.5,2,12,1
1,35,1.721249299999954,0.09285260000001472,1.6283966999999393,32,1.0,2.0,2,8,0
1,36,1.181844799999908,0.344774599999937,0.837070199999971,27,1.0,2.0,2,17,0
1,37,1.1087022000000388,0.10324769999999717,1.0054545000000417,31,1.0,2.0,2,7,0
1,38,2.172179799999981,0.21965539999996508,1.9525244000000157,28,1.0,2.0,2,15,0
1,39,0.09233369999992647,0.05766099999993912,0.034672699999987344,33,1.0,2.0,2,8,0
1,40,1.361159100000009,1.3430369000000155,0.018122199999993427,28,1.0,1.5,2,10,1
1,41,3.444755299999997,0.1591012999999748,3.2856540000000223,30,1.0,2.0,2,9,0
1,42,0.05566529999998693,0.04229829999997037,0.01336700000001656,22,1.0,1.5,2,10,1
1,43,0.5801062000001593,0.20244850000005954,0.3776577000000998,27,1.0,2.0,2,15,0
1,44,0.8846795000000611,0.6207861000000321,0.26389340000002903,27,1.0,1.5,2,11,1
1,45,1.9237189000000399,0.05556560000002264,1.8681533000000172,33,1.0,2.0,2,9,0
1,46,0.5004597000000786,0.3708718000000317,0.12958790000004683,26,1.0,1.5,2,11,1
1,47,0.562077600000066,0.0470665000000281,0.5150111000000379,30,1.0,2.0,2,6,0
1,48,0.22453189999998813,0.11996329999999489,0.10456859999999324,24,1.0,1.5,2,12,1
1,49,0.06682899999987058,0.040474299999914365,0.02635469999995621,31,1.0,2.0,2,5,0
2,3,0.09879169999999249,0.08846180000000459,0.010329899999987902,20,1.0,1.0,1,13,0
2,4,10.972178299999996,1.5440750000000207,9.428103299999975,32,1.0,1.0,1,7,0
2,5,1.4431495999999697,0.57518570000002,0.8679638999999497,25,1.0,1.0,1,10,0
2,6,8.569158399999992,1.0008477000000084,7.568310699999984,30,1.0,1.5,2,10,1
2,7,8.06375550000007,1.2883534000000054,6.775402100000065,30,1.0,1.0,1,7,0
2,8,0.9963588000000527,0.46884910000005675,0.527509699999996,23,1.0,1.0,1,13,0
2,9,1.3743950000000495,0.38675539999997,0.9876396000000796,26,1.0,1.0,1,8,0
2,10,0.25383160000001226,0.09995979999996507,0.1538718000000472,24,1.0,1.0,1,7,0
2,11,6.65754400000003,1.719395400000053,4.938148599999977,26,1.0,1.5,2,15,1
2,12,1.0457800000000361,0.6944333000000142,0.3513467000000219,28,1.0,1.5,2,7,1
2,13,6.638023999999973,1.6937189999999873,4.944304999999986,26,1.0,1.5,2,15,1
2,14,1.373352700000055,0.29988809999997557,1.0734646000000794,28,1.0,1.0,1,5,0
2,15,0.9460642000000234,0.9168250999999827,0.029239100000040708,31,1.0,1.5,2,10,1
2,16,1.2118962999999212,0.022096499999975094,1.1897997999999461,27,1.0,1.0,1,6,0
2,17,0.16230669999993097,0.07153589999995802,0.09077079999997295,24,1.0,1.0,1,6,0
2,18,14.059656000000018,2.9894541999999547,11.070201800000063,29,1.0,1.0,1,10,0
2,19,32.03773259999991,3.3463799999999537,28.69135259999996,33,1.0,1.5,2,11,1
2,20,1.243916800000079,1.2209704000000556,0.02294640000002346,29,1.0,1.5,2,13,1
2,21,11.53528039999992,0.019846400000005815,11.515433999999914,30,1.0,1.0,1,5,0
2,22,0.5206230000000005,0.5082873000000063,0.012335699999994176,29,1.0,1.0,1,4,0
2,23,3.2858642999999574,0.5654637000000093,2.720400599999948,29,1.0,1.0,1,6,0
2,24,0.9330304999999726,0.4405441999999766,0.49248629999999594,23,1.0,1.0,1,10,0
2,25,4.181922699999973,0.6723323999999593,3.5095903000000135,29,1.0,1.5,2,8,1
2,26,4.526215099999945,0.7251158999999916,3.8010991999999533,28,1.0,1.5,2,11,1
2,27,11.047521999999958,1.4739668999999367,9.573555100000021,32,1.0,1.5,2,11,1
2,28,0.9428367999998954,0.4467317999999523,0.4961049999999432,23,1.0,1.0,1,11,0
