Level,Total Time,Mapping Time,Clustering Time,Summarization Time
2,12.029171600000012,-3.9749062000000066,0.004529399999995576,8.04973480000001
1,5.973652900000005,-4.565720500000012,0.00871039999999823,1.3992204999999984
2,54.795258700000005,-21.712806599999993,0.003908300000006193,33.078542
1,98.53759089999998,-47.50503980000002,0.0072203999999942425,51.02532879999998
2,1.767039799999992,-0.2889432999999997,0.003947900000014215,1.474147099999982
1,3.6604658999999913,-0.5419578000000058,0.016633400000017673,3.1018728999999894
2,21.842362500000007,-8.088599600000009,0.004028399999981502,13.749732600000016
1,8.938655299999994,-6.939756499999987,0.006828299999995124,1.9920687000000044
2,2.161833999999999,-0.6817467000000192,0.004008199999987028,1.476077900000007
1,3.1293718000000013,-1.4430002999999942,0.007329400000003261,1.679040499999985
2,49.79841859999999,-10.183600600000034,0.0040038999999865155,39.6108127
1,20.665170999999987,-13.420617100000015,0.006942100000003393,7.237609799999973
2,4.730666100000008,-1.5443407999999863,0.004078399999968951,3.18224570000001
1,4.524645000000021,-1.373357100000021,0.0071153000000094835,3.144170900000006
2,1.0772358999999483,-0.3131217000000106,0.0037887999999952626,0.7603239999999687
1,0.8543256999999471,-0.3443715999999881,0.026778299999989486,0.48317389999999705
2,0.25170719999999847,-0.06898589999997284,0.0038430000000175824,0.17887729999995372
1,0.23975730000000794,-0.08715479999995068,0.006630200000017794,0.14597009999999955
2,0.9170277999999712,-0.3195966000000112,0.003849999999999909,0.5935801999999626
1,1.6975157999999624,-0.26316890000003923,0.006974599999978182,1.4273703999999725
