Level;Total Time;Mapping Time;Clustering Time;Summarization Time;Size;Number of Summarizations;Average Number of Offers;;;;;;;;;;
2;171.5375724;63.9672927;0.001695;107.5685787;2;1;2.5;;;<;Total ;;Mapping ;;Clustering;;Summarization
1;90.9447529;72.3187631;0.0083657;18.6176142;4;2;1.75;;;;;;;;;;
2;8.2170359;2.0523385;0.0038537;6.1608397;2;1;1.5;;;Average;73.47651326;;36.34734982;;0.0115112;;37.11764088
1;5.7094192;2.6435544;0.0079341;3.0579261;4;2;1.25;;;Median;;;;;;;
2;17.6279777;4.2493198;0.0040691;13.3745851;2;1;1.5;;;;;;;;;;
1;15.2913282;10.4290482;0.0070269;4.8552481;4;2;1.25;;;;;;;;;;
2;11.0710645;3.6321241;0.0040493;7.4348869;2;1;2;;;;;;;;;;
1;18.5216624;8.4350399;0.0080048;10.0786121;4;2;1.75;;;1;2.125;262.4823253;;;;;
2;18.5065423;7.8877546;0.0037846;10.6149973;2;1;2;;;2;1.375;13.9264551;;;;;
1;9.9552108;6.1215138;0.0087728;3.8249162;4;2;1.5;;;3;1.375;32.9193059;;;;;
;;;;;;;;;;4;1.875;29.5927269;;;;;
1;262.4823253;136.2860558;0.0100607;126.1861929;;;;;;5;1.75;28.4617531;;;;;
2;13.9264551;4.6958929;0.0117878;9.2187658;;;;;;;;;;;;;
3;32.9193059;14.678368;0.011096;18.2298332;;;;;;;;;;;;;
4;29.5927269;12.067164;0.0120541;17.513499;;;;;;;;;;;;;
5;28.4617531;14.0092684;0.0125574;14.4399135;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
2;45.39203856;;;;;;;;;;;;;;;;
1;28.0844747;;;;;;;;;;;;;;;;
