Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
0;5;0.7747396;0.2042401;0.5704995;27;1;1;1;5;0;;Average;1.89581963;;Average;1.447131119;;Average;0.448688511
0;6;0.5631101;0.5548973;0.0082128;24;1;1;1;11;0;;Median;0.36946015;;Median;0.11302115;;Median;0.1440518
0;7;0.0432486;0.0217516;0.021497;27;1;1;1;3;0;;Maximum;78.1991976;;Maximum;73.3330847;;Maximum;7.8661214
0;8;0.082923;0.0326509;0.0502721;29;1;1;1;3;0;;Minimum;0.0213875;;Minimum;0.0055455;;Minimum;0.0141412
0;9;0.1109169;0.0213565;0.0895604;25;1;1;1;5;0;;;;;;;;;
0;10;6.5981239;0.0141412;6.5839827;29;1;1;1;1;0;;;;;;;;;
0;11;0.220811;0.0932035;0.1276075;25;1;1;1;6;0;;1;0.380367997;;;;;;
0;12;0.8716216;0.4977764;0.3738452;26;1;1;1;8;0;;1.5;2.983510522;;;;;;
0;15;0.7618884;0.7459975;0.0158909;27;1;1;1;8;0;;2;1.738729707;;;;;;
0;17;1.5469522;0.0257925;1.5211597;28;1;1;1;4;0;;2.5;NaN;;;;;;
0;18;0.1325092;0.1096067;0.0229025;21;1;1;1;14;0;;3;NaN;;;;;;
5;6;0.2326681;0.1384661;0.094202;21;1;1;1;10;0;;;;;;;;;
5;7;0.1827488;0.064407;0.1183418;24;1;1;1;3;0;;;;;;;;;
5;8;0.478917;0.148941;0.329976;26;1;1;1;3;0;;1.4;;;;;;;
5;9;0.0661538;0.0363216;0.0298322;22;1;1;1;6;0;;;;;;;;;
5;10;0.5024597;0.16094;0.3415197;26;1;1;1;5;0;;;;;;;;;
5;11;0.0213875;0.0150389;0.0063486;22;1;1;1;2;0;;;;;;;;;
5;12;0.156417;0.0938176;0.0625994;23;1;1;1;7;0;;;;;;;;;
5;15;0.2874616;0.1485109;0.1389507;24;1;1;1;5;0;;;;;;;;;
5;17;0.0824666;0.0756584;0.0068082;25;1;1;1;1;0;;;;;;;;;
