Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality
1,14,0.21196449999999345,0.09390709999999558,0.11805739999999787,23,1.0,1.0,1,5,0
1,15,0.9926457999999911,0.34161899999999434,0.6510267999999968,26,1.0,1.5,2,12,1
1,16,1.7455421999999885,1.7064714999999921,0.03907069999999635,30,1.0,1.0,1,7,0
1,17,0.33221240000000307,0.22920990000000074,0.10300250000000233,26,1.0,1.0,1,7,0
1,18,0.21905329999998457,0.15840539999999237,0.060647899999992205,25,1.0,1.0,1,5,0
1,19,2.9934975999999978,0.9095779000000022,2.0839196999999956,29,1.0,1.5,2,12,1
1,20,0.34810129999999617,0.14118249999999932,0.20691879999999685,23,1.0,1.5,2,13,1
1,21,0.277700799999991,0.2615612999999968,0.0161394999999942,25,1.0,1.5,2,8,1
1,22,1.2455283999999835,0.861508299999997,0.38402009999998654,27,1.0,1.5,2,14,1
1,23,0.3553506000000084,0.3381266000000096,0.017223999999998796,26,1.0,1.5,2,10,1
1,24,0.9732259000000028,0.7196572999999944,0.25356860000000836,27,1.0,1.0,1,6,0
1,25,0.39566179999998496,0.13219549999999458,0.2634662999999904,24,1.0,1.0,1,5,0
1,26,2.8949135999999953,1.1063280000000049,1.7885855999999904,28,1.0,1.0,1,9,0
1,27,2.0136381000000085,0.5809718000000004,1.4326663000000082,27,1.0,1.5,2,11,1
1,28,0.6839832000000001,0.23629909999999654,0.4476841000000036,25,1.0,1.5,2,14,1
1,29,0.4202936000000079,0.16675689999999577,0.25353670000001216,25,1.0,1.5,2,10,1
1,30,0.07860699999999099,0.04973590000000172,0.02887109999998927,20,1.0,1.0,1,9,0
1,31,0.16619249999999397,0.15607359999999915,0.010118899999994824,25,1.0,1.0,1,6,0
1,32,0.16872579999999004,0.09297729999998694,0.0757485000000031,23,1.0,1.0,1,6,0
1,33,1.4811495000000008,1.0956939000000006,0.38545560000000023,30,1.0,1.5,2,11,1
1,34,1.631980299999995,1.2813318000000038,0.35064849999999126,29,1.0,1.0,1,8,0
1,35,0.2399218999999988,0.18545519999999271,0.054466700000006085,24,1.0,1.0,1,7,0
1,36,0.5255798999999968,0.198499599999991,0.32708030000000576,25,1.0,1.5,2,11,1
1,37,0.7307174000000032,0.6922874000000121,0.03842999999999108,28,1.0,1.0,1,5,0
1,38,0.10184129999998959,0.08511449999998888,0.016726800000000708,21,1.0,1.0,1,8,0
1,39,0.4979608000000013,0.4875748999999985,0.010385900000002835,27,1.0,1.0,1,5,0
1,40,0.26646650000000704,0.13949730000000216,0.1269692000000049,26,1.0,1.0,1,6,0
1,41,0.500335800000002,0.4898895999999979,0.010446200000004069,27,1.0,1.0,1,4,0
1,42,0.9465105000000023,0.3792650999999978,0.5672454000000045,26,1.0,1.0,1,8,0
1,43,1.8962626,0.7235680999999943,1.1726945000000057,27,1.0,1.0,1,8,0
1,44,2.0274375999999847,0.43711689999999237,1.5903206999999924,28,1.0,1.5,2,12,1
1,45,0.7926378000000085,0.7304199000000011,0.062217900000007376,28,1.0,1.0,1,6,0
1,46,1.412795200000005,1.3982354000000043,0.014559800000000678,29,1.0,1.5,2,9,1
1,47,0.273726900000014,0.2596429000000029,0.014084000000011088,26,1.0,1.5,2,9,1
1,48,0.20934019999999975,0.1443474000000009,0.06499279999999885,25,1.0,1.0,1,7,0
1,49,0.27347950000000765,0.22755460000000483,0.04592490000000282,26,1.0,1.0,1,4,0
2,3,34.22002570000001,31.778367400000008,2.4416583000000003,32,1.0,1.5,2,16,1
2,4,35.71179000000001,6.016906399999982,29.694883600000026,29,1.0,1.5,2,15,1
2,5,0.09139419999999632,0.0721948999999995,0.01919929999999681,24,1.0,1.5,2,11,1
2,6,0.5094898000000114,0.42938499999999635,0.08010480000001508,30,1.0,2.0,2,5,0
2,7,0.14147310000001312,0.1149560000000065,0.02651710000000662,24,1.0,1.5,2,11,1
2,8,5.672793899999959,0.5304943999999807,5.142299499999979,28,1.0,1.5,2,12,1
2,9,0.5008244999999931,0.09700730000000135,0.40381719999999177,25,1.0,1.5,2,10,1
2,10,7.728881099999995,2.177338899999995,5.5515422,33,1.0,2.0,2,19,0
2,11,1.7036070999999708,1.606957699999981,0.09664939999998978,28,1.0,1.5,2,12,1
2,12,13.570649099999997,2.678335000000004,10.892314099999993,28,1.0,1.5,2,14,1
2,13,48.76124969999998,3.712657799999988,45.04859189999999,32,1.0,2.0,2,19,0
2,14,0.43239759999994476,0.09969969999997375,0.332697899999971,26,1.0,1.5,2,12,1
2,15,3.9349078999999847,0.42973339999997506,3.5051745000000096,29,1.0,2.0,2,16,0
2,16,87.9095484,43.4724382,44.437110200000006,33,1.0,1.5,2,18,1
2,17,4.731960199999946,3.1213118999999665,1.6106482999999798,29,1.0,1.5,2,14,1
2,18,2.374188599999968,1.5743448000000058,0.7998437999999624,28,1.0,1.5,2,13,1
2,19,36.84718060000006,1.9224606000000222,34.924720000000036,32,1.0,2.0,2,19,0
2,20,0.27666989999994485,0.1053225999999654,0.17134729999997944,26,1.0,2.0,2,6,0
2,21,1.5698185999999623,0.8059504999999945,0.7638680999999679,28,1.0,2.0,2,16,0
2,22,0.12225290000003497,0.08675290000002178,0.03550000000001319,30,1.0,2.0,2,2,0
2,23,1.9314572999999768,1.1641539999999964,0.7673032999999805,29,1.0,2.0,2,12,0
2,24,10.11036050000007,9.214192600000047,0.8961679000000231,30,1.0,1.5,2,15,1
2,25,3.2207455999999866,1.010313100000019,2.2104324999999676,27,1.0,1.5,2,14,1
2,26,207.07303179999997,26.10029659999998,180.9727352,31,1.0,1.5,2,17,1
2,27,13.946825900000022,1.1378641000000016,12.80896180000002,30,1.0,2.0,2,17,0
2,28,3.045374000000038,0.7871237000000519,2.258250299999986,28,1.0,2.0,2,11,0
2,29,1.0405719000000317,0.21505820000004405,0.8255136999999877,28,1.0,2.0,2,16,0
2,30,0.07425999999998112,0.03733929999998509,0.03692069999999603,23,1.0,1.5,2,9,1
2,31,2.3140222999999196,1.5157332999999653,0.7982889999999543,28,1.0,1.5,2,15,1
2,32,0.8573936999999887,0.3311351999999488,0.5262585000000399,26,1.0,1.5,2,13,1
2,33,3.0977556999999933,2.4094354000000067,0.6883202999999867,33,1.0,2.0,2,18,0
2,34,34.510151199999996,32.07995919999996,2.4301920000000337,32,1.0,1.5,2,16,1
2,35,0.8011883000000353,0.7556508000000122,0.0455375000000231,27,1.0,1.5,2,13,1
2,36,1.297482700000046,0.22502250000002277,1.0724602000000232,28,1.0,2.0,2,16,0
2,37,23.378513000000112,11.694139000000064,11.684374000000048,31,1.0,1.5,2,16,1
2,38,0.0764968000000863,0.05863800000008723,0.017858799999999064,24,1.0,1.5,2,8,1
2,39,11.040191400000026,6.9090536999999586,4.1311377000000675,30,1.0,1.5,2,15,1
2,40,3.873306800000023,3.642111,0.23119580000002316,29,1.0,1.5,2,13,1
2,41,11.109584100000006,6.967472100000009,4.142111999999997,30,1.0,1.5,2,15,1
2,42,36.46110139999996,6.089476300000001,30.37162509999996,29,1.0,1.5,2,16,1
2,43,89.80211940000004,12.95490140000004,76.847218,30,1.0,1.5,2,16,1
2,44,14.518588799999975,0.9579049000000168,13.560683899999958,31,1.0,2.0,2,18,0
2,45,23.675504100000012,11.710429399999953,11.96507470000006,31,1.0,1.5,2,16,1
2,46,7.47074299999997,2.3386094999999614,5.132133500000009,32,1.0,2.0,2,18,0
2,47,0.7536903999999822,0.30835930000000644,0.4453310999999758,29,1.0,2.0,2,16,0
2,48,1.7381458999999495,1.6334871000000248,0.10465879999992467,28,1.0,1.5,2,12,1
2,49,5.56592749999993,2.9925095999999485,2.5734178999999813,29,1.0,1.5,2,15,1
3,4,9.279518100000132,1.3397973000001002,7.939720800000032,31,1.0,1.0,1,5,0
3,5,1.4431403000000955,1.4310014000000137,0.012138900000081776,26,1.0,1.0,1,11,0
3,6,13.754819399999974,13.719122099999936,0.03569730000003801,32,1.0,1.5,2,13,1
3,7,1.4903734000000668,1.477708000000007,0.01266540000005989,26,1.0,1.0,1,13,0
3,8,3.521628700000065,1.1639300000000503,2.3576987000000145,30,1.0,1.0,1,8,0
3,9,1.131063499999982,0.67777430000001,0.45328919999997197,27,1.0,1.0,1,10,0
3,10,9.990644699999962,4.363340799999946,5.627303900000015,35,1.0,1.5,2,11,1
3,11,0.7483466000001044,0.7355799000000616,0.012766700000042874,30,1.0,1.0,1,6,0
3,12,2.1561613999999736,0.02473809999992227,2.1314233000000513,30,1.0,1.0,1,4,0
3,13,33.686675599999944,4.565854999999942,29.120820600000002,34,1.0,1.5,2,10,1
3,14,1.313237200000117,0.6354826000000457,0.6777546000000712,28,1.0,1.0,1,11,0
3,15,7.925143899999966,1.4520371999999497,6.473106700000017,31,1.0,1.5,2,12,1
3,16,7.610604400000057,0.017329000000017913,7.593275400000039,35,1.0,1.0,1,3,0
3,17,13.72643590000007,7.808179500000051,5.918256400000018,31,1.0,1.0,1,9,0
3,18,2.201049000000012,0.2413294999998925,1.9597195000001193,30,1.0,1.0,1,6,0
3,19,44.13907449999988,3.8461677000000236,40.292906799999855,34,1.0,1.5,2,10,1
3,20,4.133202900000015,2.5993565999999646,1.5338463000000502,28,1.0,1.5,2,16,1
