Level,Total Time,Mapping Time,Clustering Time,Summarization Time,Size,Number of Summarizations,Average Number of Offers
3,98.54618749999999,-32.74573380000001,0.0040984999999977845,65.79635059999998,2,1,2.0
2,22.359441000000004,-18.519463099999996,0.008261200000006852,3.8317105,4,2,1.75
1,30.58640369999999,-21.667473599999994,0.10925950000000739,8.809661799999986,8,4,1.625
3,52.32360249999999,-17.13807350000002,0.0040379000000143606,35.181486199999995,2,1,2.0
2,24.715453799999977,-15.179406900000032,0.008047999999973854,9.527990199999977,4,2,1.75
1,26.418217999999996,-18.16229130000002,0.05425389999999197,8.2016596,8,4,1.5
3,315.37023149999993,-125.24838920000002,0.003992899999957444,190.11784469999998,2,1,1.5
2,184.35292049999998,-140.441642,0.00740280000002258,43.903868399999965,4,2,1.5
1,271.00666040000004,-186.32803009999998,0.05940760000004275,84.619213,8,4,1.5
3,60.66010649999998,-25.846294299999954,0.0038597000000208936,34.809947299999976,2,1,2.0
2,32.54826109999999,-22.00002480000012,0.006631100000049628,10.541596099999879,4,2,1.5
1,42.05791599999998,-28.696429699999953,0.03884809999999561,13.322629499999948,8,4,1.5
3,73.09051260000001,-31.305086500000016,0.004159600000093633,41.78126159999988,2,1,2.0
2,151.65789440000003,-72.60944749999999,0.006982900000139125,79.04145599999993,4,2,1.75
1,107.29368580000005,-74.73234879999995,0.08987240000010388,32.47145569999998,8,4,1.625
