Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;n;;;;;;;
0;4;0.5904913;0.2440187;0.3464726;49;1;1;1;0;0;8;;;;;;;
0;5;0.9990923;0.2450013;0.754091;50;1;1;1;0;0;8;;;;;;;
0;6;1.5075969;0.2273038;1.2802931;52;1;1;1;0;0;8;;;;;;;
0;7;0.6180979;0.2692519;0.348846;50;1;1;1;0;0;8;;;;;;;
0;8;0.7122053;0.211247;0.5009583;53;1;1;1;0;0;8;;;;;;;
0;9;0.5770154;0.238317;0.3386984;51;1;1;1;0;0;8;;;;;;;
1;2;7.4238502;0.2468974;7.1769528;58;1;1;1;0;0;8;;;;;;;
1;3;4.2635832;1.1185012;3.145082;54;1;1.5;2;5;1;8;;;;;;;
1;4;0.5960129;0.2500078;0.3460051;51;1;1;1;0;0;8;;;;;;;
1;5;1.1795251;0.2530641;0.926461;52;1;1;1;0;0;8;;;;;;;
1;6;1.700406;0.2330292;1.4673768;54;1;1;1;0;0;8;;;;;;;
1;7;0.6189879;0.2773134;0.3416745;52;1;1;1;0;0;8;;;;;;;
1;8;0.6513566;0.2171364;0.4342202;55;1;1;1;0;0;8;;;;;;;
1;9;0.6286412;0.2472824;0.3813588;53;1;1;1;0;0;8;;;;;;;
2;3;8.7476014;0.2866474;8.460954;56;1;1.5;2;5;1;8;;;;;;;
2;4;6.2608933;0.2569224;6.0039709;53;1;1;1;0;0;8;;;;;;;
2;5;4.8950489;0.2479623;4.6470866;54;1;1;1;0;0;8;;;;;;;
2;6;33.3296615;0.2288467;33.1008148;56;1;1;1;0;0;8;;;;;;;
2;7;4.5849152;0.2739376;4.3109776;54;1;1;1;0;0;8;;;;;;;
2;8;10.7134111;0.2121999;10.5012112;57;1;1;1;0;0;8;;;;;;;
2;9;5.2765289;0.2372798;5.0392491;55;1;1;1;0;0;8;;;;;;;
3;4;2.6916949;0.2891058;2.4025891;49;1;1.5;2;5;1;8;;;;;;;
3;5;3.0507836;0.2790357;2.7717479;50;1;1.5;2;5;1;8;;;;;;;
3;6;5.2493513;0.265992;4.9833593;52;1;1.5;2;5;1;8;;;;;;;
3;7;2.5929519;0.3021159;2.290836;50;1;1.5;2;5;1;8;;;;;;;
3;8;5.036849;0.2540269;4.7828221;53;1;1.5;2;5;1;8;;;;;;;
3;9;1.919647;0.2726616;1.6469854;51;1;1.5;2;5;1;8;;;;;;;
4;5;0.8802881;0.2456166;0.6346715;47;1;1;1;0;0;8;;;;;;;
4;6;1.3247357;0.2331868;1.0915489;49;1;1;1;0;0;8;;;;;;;
4;7;0.5663004;0.2722668;0.2940336;47;1;1;1;0;0;8;;;;;;;
4;8;0.6364992;0.2183621;0.4181371;50;1;1;1;0;0;8;;;;;;;
4;9;0.5465619;0.2429833;0.3035786;48;1;1;1;0;0;8;;;;;;;
5;6;2.2230662;0.231825;1.9912412;50;1;1;1;0;0;8;;;;;;;
5;7;0.868164;0.2733605;0.5948035;48;1;1;1;0;0;8;;;;;;;
5;8;1.3616565;0.2174465;1.14421;51;1;1;1;0;0;8;;;;;;;
5;9;0.9019833;0.2424569;0.6595264;49;1;1;1;0;0;8;;;;;;;
6;7;1.3454271;0.2553317;1.0900954;50;1;1;1;0;0;8;;;;;;;
6;8;3.1041405;1.0537287;2.0504118;53;1;1;1;0;0;8;;;;;;;
6;9;1.0862334;0.2244622;0.8617712;51;1;1;1;0;0;8;;;;;;;
7;8;0.6641547;0.2390967;0.425058;51;1;1;1;0;0;8;;;;;;;
7;9;0.5664347;0.2650325;0.3014022;49;1;1;1;0;0;8;;;;;;;
8;9;0.6592494;0.2070195;0.4522299;52;1;1;1;0;0;8;;;;;;;
