Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;n;;;;;;;
3;5;25.7448079;0.1135412;25.6312667;45;1;2;2;9;0;4;;;;;;;
3;6;8.8897866;0.1269244;8.7628622;45;1;2;2;0;0;4;;;;;;;
3;7;26.7908021;0.1278438;26.6629583;44;1;2;2;4;0;4;;;;;;;
3;8;17.9985263;0.1301262;17.8684001;46;1;2;2;0;0;4;;;;;;;
3;9;15.0228837;0.111621;14.9112627;44;1;2;2;15;0;4;;;;;;;
4;5;7.771354;0.0555616;7.7157924;39;1;1.5;2;4;1;4;;;;;;;
4;6;0.1540665;0.1237883;0.0302782;39;1;1.5;2;5;1;4;;;;;;;
4;7;14.5382063;0.0855657;14.4526406;38;1;1.5;2;3;1;4;;;;;;;
4;8;7.8409701;0.093168;7.7478021;40;1;1.5;2;5;1;4;;;;;;;
4;9;1.1247057;0.0524003;1.0723054;38;1;1.5;2;6;1;4;;;;;;;
5;6;19.9230501;0.1576845;19.7653656;44;1;2;2;9;0;4;;;;;;;
5;7;38.3099541;0.1166798;38.1932743;43;1;2;2;7;0;4;;;;;;;
5;8;28.8307019;0.1205167;28.7101852;45;1;2;2;9;0;4;;;;;;;
5;9;24.2071672;0.0560342;24.151133;43;1;2;2;4;0;4;;;;;;;
6;7;22.9831842;0.1288811;22.8543031;43;1;2;2;4;0;4;;;;;;;
6;8;10.8189918;0.1343934;10.6845984;45;1;2;2;0;0;4;;;;;;;
6;9;3.2415894;0.1653654;3.076224;43;1;2;2;15;0;4;;;;;;;
7;8;29.2348363;0.1327497;29.1020866;44;1;2;2;4;0;4;;;;;;;
7;9;26.2810819;0.127023;26.1540589;42;1;2;2;9;0;4;;;;;;;
8;9;17.8184691;0.1173975;17.7010716;44;1;2;2;15;0;4;;;;;;;
0;1;7.5099833;0.1266546;7.3833287;52;1;2;2;1;0;8;;;;;;;
0;2;37.1456798;0.2290357;36.9166441;59;1;2;2;8;0;8;;;;;;;
0;3;5.5585262;0.0913376;5.4671886;50;1;1.5;2;3;1;8;;;;;;;
0;4;47.3135223;0.1279578;47.1855645;52;1;2;2;1;0;8;;;;;;;
0;5;9.0740631;0.2241484;8.8499147;56;1;2;2;8;0;8;;;;;;;
0;6;67.5855301;0.1993677;67.3861624;58;1;2;2;6;0;8;;;;;;;
0;7;42.8593601;0.2276226;42.6317375;59;1;2;2;8;0;8;;;;;;;
0;8;14.0965698;0.1213566;13.9752132;51;1;2;2;0;0;8;;;;;;;
0;9;6.0502135;0.1277087;5.9225048;52;1;2;2;4;0;8;;;;;;;
1;2;21.1024621;0.2284325;20.8740296;61;1;2;2;9;0;8;;;;;;;
1;3;3.4006742;0.0962794;3.3043948;52;1;1.5;2;4;1;8;;;;;;;
1;4;27.3504983;0.1183196;27.2321787;54;1;2;2;0;0;8;;;;;;;
1;5;5.7963911;0.2171645;5.5792266;58;1;2;2;9;0;8;;;;;;;
1;6;43.1071628;0.2098256;42.8973372;60;1;2;2;7;0;8;;;;;;;
1;7;24.641558;0.2289268;24.4126312;61;1;2;2;9;0;8;;;;;;;
1;8;8.637912;0.1309883;8.5069237;53;1;2;2;1;0;8;;;;;;;
1;9;5.7638631;0.135964;5.6278991;54;1;2;2;4;0;8;;;;;;;
2;3;15.8197924;0.2012976;15.6184948;59;1;1.5;2;5;1;8;;;;;;;
2;4;51.4133043;0.2411317;51.1721726;61;1;2;2;9;0;8;;;;;;;
2;5;22.6254399;0.3059855;22.3194544;65;1;2;2;0;0;8;;;;;;;
2;6;59.4419665;0.2951993;59.1467672;67;1;2;2;4;0;8;;;;;;;
2;7;40.1182997;0.309606;39.8086937;68;1;2;2;0;0;8;;;;;;;
2;8;30.1973327;0.2321491;29.9651836;60;1;2;2;8;0;8;;;;;;;
2;9;35.8546263;0.2398884;35.6147379;61;1;2;2;9;0;8;;;;;;;
3;4;20.5738094;0.1137644;20.460045;52;1;1.5;2;4;1;8;;;;;;;
3;5;4.2298428;0.1878816;4.0419612;56;1;1.5;2;5;1;8;;;;;;;
3;6;32.2569086;0.1791858;32.0777228;58;1;1.5;2;3;1;8;;;;;;;
3;7;18.1485206;0.1997822;17.9487384;59;1;1.5;2;5;1;8;;;;;;;
3;8;6.3899557;0.1111195;6.2788362;51;1;1.5;2;3;1;8;;;;;;;
3;9;4.209278;0.1384769;4.0708011;52;1;1.5;2;4;1;8;;;;;;;
4;5;37.9107604;0.237408;37.6733524;58;1;2;2;9;0;8;;;;;;;
4;6;74.6357004;0.2215501;74.4141503;60;1;2;2;7;0;8;;;;;;;
4;7;54.649073;0.2405296;54.4085434;61;1;2;2;9;0;8;;;;;;;
4;8;44.0051599;0.9976565;43.0075034;53;1;2;2;1;0;8;;;;;;;
4;9;42.7148521;0.1398424;42.5750097;54;1;2;2;4;0;8;;;;;;;
5;6;47.9241603;0.2822719;47.6418884;64;1;2;2;4;0;8;;;;;;;
5;7;25.6611099;0.2974092;25.3637007;65;1;2;2;0;0;8;;;;;;;
5;8;11.2693695;0.2273348;11.0420347;57;1;2;2;8;0;8;;;;;;;
5;9;6.1323931;0.2395997;5.8927934;58;1;2;2;9;0;8;;;;;;;
6;7;62.3037558;0.2873333;62.0164225;67;1;2;2;4;0;8;;;;;;;
6;8;52.7544115;0.2224895;52.531922;59;1;2;2;6;0;8;;;;;;;
6;9;63.9175842;0.2555949;63.6619893;60;1;2;2;7;0;8;;;;;;;
7;8;34.2170118;0.2449338;33.972078;60;1;2;2;8;0;8;;;;;;;
7;9;42.2930514;0.2527596;42.0402918;61;1;2;2;9;0;8;;;;;;;
8;9;10.6448418;0.1293185;10.5155233;53;1;2;2;4;0;8;;;;;;;
0;1;0.1596802;0.1293808;0.0302994;23;1;1.5;2;13;1;2;;;;;;;
0;2;0.6685571;0.3193277;0.3492294;24;1;1.5;2;15;1;2;;;;;;;
0;3;2.2753706;2.2676639;0.0077067;27;1;1;1;12;0;2;;;;;;;
0;4;0.3176966;0.3045383;0.0131583;24;1;1.5;2;13;1;2;;;;;;;
0;5;0.2057953;0.1949188;0.0108765;24;1;1.5;2;12;1;2;;;;;;;
0;6;0.4727268;0.2093578;0.263369;22;1;1.5;2;11;1;2;;;;;;;
0;7;0.9161706;0.3743936;0.541777;23;1;1.5;2;12;1;2;;;;;;;
0;8;0.4452821;0.3858673;0.0594148;24;1;1;1;12;0;2;;;;;;;
0;9;0.1529244;0.1430019;0.0099225;23;1;1.5;2;10;1;2;;;;;;;
1;2;3.0259326;0.0316514;2.9942812;29;1;2;2;3;0;2;;;;;;;
1;3;26.3273022;12.5885487;13.7387535;32;1;1.5;2;16;1;2;;;;;;;
1;4;0.8136634;0.1558829;0.6577805;29;1;2;2;6;0;2;;;;;;;
1;5;0.6689295;0.3112195;0.35771;29;1;2;2;16;0;2;;;;;;;
1;6;2.1973495;0.113489;2.0838605;27;1;2;2;10;0;2;;;;;;;
1;7;4.5152696;0.1772386;4.338031;28;1;2;2;11;0;2;;;;;;;
1;8;1.3277;0.657881;0.669819;29;1;1.5;2;12;1;2;;;;;;;
1;9;0.285542;0.0776636;0.2078784;28;1;2;2;7;0;2;;;;;;;
2;3;29.3102286;4.1638343;25.1463943;33;1;1.5;2;14;1;2;;;;;;;
2;4;3.2997484;0.1497914;3.149957;30;1;2;2;5;0;2;;;;;;;
2;5;8.0253734;0.8272398;7.1981336;30;1;2;2;17;0;2;;;;;;;
2;6;1.6901427;0.1101816;1.5799611;28;1;2;2;8;0;2;;;;;;;
2;7;2.8664117;0.1251993;2.7412124;29;1;2;2;9;0;2;;;;;;;
2;8;19.8297313;0.9242816;18.9054497;30;1;1.5;2;12;1;2;;;;;;;
2;9;2.2078355;0.159309;2.0485265;29;1;2;2;8;0;2;;;;;;;
3;4;2.6742697;2.4952969;0.1789728;33;1;1.5;2;12;1;2;;;;;;;
3;5;58.3413381;58.1087942;0.2325439;33;1;1.5;2;16;1;2;;;;;;;
3;6;11.9567276;2.3995277;9.5571999;31;1;1.5;2;11;1;2;;;;;;;
3;7;20.1292008;2.7987464;17.3304544;32;1;1.5;2;10;1;2;;;;;;;
3;8;17.8023444;11.1154712;6.6868732;33;1;1;1;11;0;2;;;;;;;
3;9;7.5203171;7.0509278;0.4693893;32;1;1.5;2;12;1;2;;;;;;;
4;5;1.0168639;0.8470858;0.1697781;30;1;2;2;16;0;2;;;;;;;
4;6;2.3203915;0.0306196;2.2897719;28;1;2;2;6;0;2;;;;;;;
4;7;3.9718199;0.0267162;3.9451037;29;1;2;2;5;0;2;;;;;;;
4;8;4.1268135;0.6914097;3.4354038;30;1;1.5;2;11;1;2;;;;;;;
4;9;0.0616997;0.0417674;0.0199323;29;1;2;2;5;0;2;;;;;;;
5;6;3.6168506;0.4354136;3.181437;28;1;2;2;15;0;2;;;;;;;
5;7;11.0388504;0.991454;10.0473964;29;1;2;2;15;0;2;;;;;;;
5;8;4.327679;1.2232652;3.1044138;30;1;1.5;2;13;1;2;;;;;;;
5;9;0.4307698;0.3562917;0.0744781;29;1;2;2;17;0;2;;;;;;;
6;7;0.0363669;0.0241427;0.0122242;27;1;2;2;1;0;2;;;;;;;
6;8;8.7923147;0.4461247;8.34619;28;1;1.5;2;12;1;2;;;;;;;
6;9;1.7395461;0.0394951;1.700051;27;1;2;2;3;0;2;;;;;;;
