Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;;Total;;;Mapping;;;Summarization;
4;19;2.8026078;0.4899839;2.3126239;29;1;1.5;2;8;1;;;;;;;;;
5;7;0.4986108;0.1913505;0.3072603;23;1;1.5;2;13;1;;;;;;;;;
5;8;0.3296273;0.0869151;0.2427122;25;1;1.5;2;9;1;;;;;;;;;
5;10;0.4389847;0.1802256;0.2587591;23;1;1.5;2;11;1;;;;;;;;;
5;14;0.0722804;0.061964;0.0103164;24;1;1.5;2;10;1;;;;;;;;;
5;15;1.2765484;0.3851389;0.8914095;28;1;1.5;2;11;1;;;;;;;;;
5;16;1.7767845;0.7621092;1.0146753;30;1;1.5;2;13;1;;;;;;;;;
5;17;1.4879616;0.371616;1.1163456;29;1;1.5;2;14;1;;;;;;;;;
5;18;0.3869432;0.1014343;0.2855089;27;1;1.5;2;9;1;;;;;;;;;
6;7;2.8031194;0.8063029;1.9968165;25;1;1.5;2;16;1;;;;;;;;;
6;8;2.1329068;0.356426;1.7764808;27;1;1.5;2;13;1;;;;;;;;;
6;10;2.9215451;0.8323281;2.089217;25;1;1.5;2;14;1;;;;;;;;;
6;14;0.5935103;0.572025;0.0214853;26;1;1.5;2;13;1;;;;;;;;;
6;15;4.4841039;0.6061989;3.877905;30;1;1.5;2;9;1;;;;;;;;;
6;16;7.5832898;1.2424595;6.3408303;32;1;1.5;2;11;1;;;;;;;;;
6;17;5.5057837;0.7120152;4.7937685;31;1;1.5;2;12;1;;;;;;;;;
6;18;2.5694255;0.512282;2.0571435;29;1;1.5;2;11;1;;;;;;;;;
7;9;0.8052672;0.5412289;0.2640383;25;1;1.5;2;14;1;;;;;;;;;
7;11;0.1877717;0.0456395;0.1421322;23;1;1.5;2;9;1;;;;;;;;;
7;12;0.1733079;0.0938477;0.0794602;22;1;1.5;2;11;1;;;;;;;;;
7;13;1.2237407;0.2823246;0.9414161;25;1;1.5;2;13;1;;;;;;;;;
7;19;6.1994495;1.6216539;4.5777956;26;1;1.5;2;16;1;;;;;;;;;
8;9;1.149799;0.7174228;0.4323762;27;1;1.5;2;13;1;;;;;;;;;
8;11;0.47383;0.0798917;0.3939383;25;1;1.5;2;10;1;;;;;;;;;
8;12;0.1392201;0.0637855;0.0754346;24;1;1.5;2;9;1;;;;;;;;;
8;13;4.2368805;0.8169654;3.4199151;27;1;1.5;2;13;1;;;;;;;;;
8;19;5.1066906;0.677043;4.4296476;28;1;1.5;2;13;1;;;;;;;;;
9;10;0.5180629;0.5069224;0.0111405;25;1;1.5;2;12;1;;;;;;;;;
9;14;0.4128919;0.0467984;0.3660935;26;1;1.5;2;8;1;;;;;;;;;
9;15;3.06776;2.9789795;0.0887805;30;1;1.5;2;13;1;;;;;;;;;
9;16;6.3006623;6.2805355;0.0201268;32;1;1.5;2;15;1;;;;;;;;;
9;17;5.5174129;3.971831;1.5455819;31;1;1.5;2;16;1;;;;;;;;;
9;18;1.0842791;1.0708854;0.0133937;29;1;1.5;2;11;1;;;;;;;;;
10;11;0.1455963;0.0442228;0.1013735;23;1;1.5;2;10;1;;;;;;;;;
10;12;0.1576584;0.0863462;0.0713122;22;1;1.5;2;12;1;;;;;;;;;
10;13;1.13023;0.2656274;0.8646026;25;1;1.5;2;11;1;;;;;;;;;
10;19;6.844186;1.7069569;5.1372291;26;1;1.5;2;14;1;;;;;;;;;
11;14;0.3191262;0.1573593;0.1617669;24;1;1.5;2;13;1;;;;;;;;;
11;15;1.2020537;0.1761013;1.0259524;28;1;1.5;2;13;1;;;;;;;;;
11;16;1.6856788;0.3144189;1.3712599;30;1;1.5;2;15;1;;;;;;;;;
11;17;1.2220951;0.2407362;0.9813589;29;1;1.5;2;13;1;;;;;;;;;
11;18;0.6482506;0.1086679;0.5395827;27;1;1.5;2;13;1;;;;;;;;;
12;14;0.1110435;0.0512527;0.0597908;23;1;1.5;2;12;1;;;;;;;;;
12;15;0.7125631;0.2473987;0.4651644;27;1;1.5;2;13;1;;;;;;;;;
12;16;1.2576304;0.537311;0.7203194;29;1;1.5;2;15;1;;;;;;;;;
12;17;0.4689243;0.311411;0.1575133;28;1;1.5;2;13;1;;;;;;;;;
12;18;0.2260991;0.1070662;0.1190329;26;1;1.5;2;11;1;;;;;;;;;
13;14;0.62586;0.6094838;0.0163762;26;1;1.5;2;12;1;;;;;;;;;
13;15;10.5770279;1.6210598;8.9559681;30;1;1.5;2;12;1;;;;;;;;;
13;16;14.6429212;2.5970398;12.0458814;32;1;1.5;2;14;1;;;;;;;;;
13;17;14.1069971;1.9916973;12.1152998;31;1;1.5;2;15;1;;;;;;;;;
13;18;8.2278162;1.4104743;6.8173419;29;1;1.5;2;13;1;;;;;;;;;
14;19;1.055018;1.0355563;0.0194617;27;1;1.5;2;12;1;;;;;;;;;
15;19;9.1639126;1.1478947;8.0160179;31;1;1.5;2;11;1;;;;;;;;;
16;19;15.7056557;2.2953198;13.4103359;33;1;1.5;2;10;1;;;;;;;;;
17;19;11.1880424;1.1686533;10.0193891;32;1;1.5;2;11;1;;;;;;;;;
18;19;6.1873824;0.7931663;5.3942161;30;1;1.5;2;11;1;;;;;;;;;
1;2;0.1589645;0.0873119;0.0716526;25;1;2;2;15;0;;;;;;;;;
