Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
3,8,36.05571779999991,0.146587400000044,35.90913039999987,41,1.0,2.5,3,10,1,4
3,9,6.378804799999898,0.08025339999994685,6.298551399999951,42,1.0,2.5,3,15,1,4
4,5,8.838894199999686,0.12219029999982922,8.716703899999857,40,1.0,2.5,3,7,1,4
4,6,1.2422735999998622,0.1461016999999174,1.0961718999999448,37,1.0,2.0,2,3,0,4
4,7,1.1594117999998161,0.11766299999999319,1.041748799999823,37,1.0,2.0,2,0,0,4
4,8,5.804978699999992,0.18359129999998913,5.621387400000003,37,1.0,2.0,2,4,0,4
4,9,11.875045900000032,0.09676509999985683,11.778280800000175,38,1.0,2.0,2,14,0,4
5,6,13.90608670000006,0.15307030000008126,13.753016399999979,41,1.0,2.5,3,7,1,4
5,7,14.200171799999907,0.12527799999998024,14.074893799999927,41,1.0,2.5,3,7,1,4
5,8,59.05858279999984,0.1459085999999843,58.912674199999856,41,1.0,2.5,3,9,1,4
5,9,0.2403501999999662,0.09953089999999065,0.14081929999997556,42,1.0,2.5,3,11,1,4
6,7,2.5044954000002235,0.15626700000007077,2.3482284000001528,38,1.0,2.0,2,3,0,4
6,8,2.6502099000001635,0.20374350000020058,2.446466399999963,38,1.0,2.0,2,0,0,4
6,9,25.111826399999927,0.11378549999994902,24.998040899999978,39,1.0,2.0,2,13,0,4
7,8,16.779349099999763,0.18554039999980887,16.593808699999954,38,1.0,2.0,2,4,0,4
7,9,17.44333410000013,0.09745760000009795,17.34587650000003,39,1.0,2.0,2,14,0,4
8,9,128.62042350000002,0,128.62042350000002,39,1.0,2.0,2,NaN,0,4
0,1,74.03905510000004,0.3189296000000468,73.7201255,63,1.0,3.0,3,2,0,8
0,2,10.213601899999958,1.095219299999826,9.118382600000132,57,1.0,3.0,3,0,0,8
0,3,19.40272589999995,0.3357805000000553,19.066945399999895,60,1.0,3.0,3,2,0,8
0,4,0.7372164000003067,0.24778640000022278,0.48943000000008396,58,1.0,3.0,3,0,0,8
0,5,39.337000400000306,0.3999485000003915,38.937051899999915,61,1.0,3.0,3,2,0,8
0,6,28.543287500000133,0.34130240000013146,28.2019851,61,1.0,3.0,3,2,0,8
0,7,198.74854559999994,0.3657308000001649,198.38281479999978,57,1.0,3.0,3,2,0,8
0,8,1.1694845000001806,0.28971780000028957,0.879766699999891,57,1.0,3.0,3,5,0,8
0,9,62.794836900000064,0.3215304999998807,62.47330640000018,59,1.0,3.0,3,5,0,8
1,2,111.45189119999986,0.33915750000005573,111.11273369999981,64,1.0,3.0,3,4,0,8
1,3,89.33547739999995,0.41341000000011263,88.92206739999983,67,1.0,3.0,3,0,0,8
1,4,105.38575800000035,0.3142029000000548,105.0715551000003,65,1.0,3.0,3,3,0,8
1,5,107.79692950000026,0.5220346999999492,107.27489480000031,68,1.0,3.0,3,0,0,8
1,6,99.04279059999999,0.4193519999998898,98.6234386000001,68,1.0,3.0,3,0,0,8
1,7,265.6716842999999,0.4745007000001351,265.1971835999998,64,1.0,3.0,3,0,0,8
1,8,140.0239345,0.3278079000001526,139.69612659999984,64,1.0,3.0,3,9,0,8
1,9,67.65478660000008,0.39056810000010955,67.26421849999997,66,1.0,3.0,3,7,0,8
2,3,31.732755800000177,0.2795688999999584,31.45318690000022,61,1.0,3.0,3,4,0,8
2,4,12.094082400000389,0.2675686000002315,11.826513800000157,59,1.0,3.0,3,0,0,8
2,5,58.44714270000031,0.3557800999997198,58.09136260000059,62,1.0,3.0,3,4,0,8
2,6,43.00012189999961,0.28899269999965327,42.71112919999996,62,1.0,3.0,3,4,0,8
2,7,247.58534109999982,0.3451832999999169,247.2401577999999,58,1.0,3.0,3,4,0,8
2,8,15.655427200000304,0.1854090000006181,15.470018199999686,58,1.0,3.0,3,5,0,8
2,9,88.71969720000016,0.3474623000001884,88.37223489999997,60,1.0,3.0,3,7,0,8
3,4,28.312618400000247,0.3813625000002503,27.931255899999996,62,1.0,3.0,3,3,0,8
3,5,54.98147390000031,0.501227600000675,54.480246299999635,65,1.0,3.0,3,0,0,8
3,6,45.01348109999981,0.44466319999992265,44.568817899999885,65,1.0,3.0,3,0,0,8
3,7,218.4998787000004,0.48170480000044336,218.01817389999997,61,1.0,3.0,3,0,0,8
